,0,1,2,3,4,5,6,7,8,9
21,"[0, 2, 4]","[1, 2, 4]","[2, 0, 0]","[3, 0, 0]","[4, 0, 0]","[5, 1, 2]","[6, 0, 0]","[7, 1, 2]","[8, 2, 4]","[9, 4, 8]"
22,"[0, 2, 4]","[1, 2, 4]","[2, 0, 0]","[3, 0, 0]","[4, 1, 2]","[5, 1, 2]","[6, 0, 0]","[7, 1, 2]","[8, 2, 4]","[9, 4, 8]"
23,"[0, 1, 2]","[1, 2, 4]","[2, 0, 0]","[3, 0, 0]","[4, 1, 2]","[5, 1, 2]","[6, 0, 0]","[7, 1, 2]","[8, 2, 4]","[9, 4, 8]"
24,"[0, 1, 2]","[1, 2, 4]","[2, 0, 0]","[3, 0, 0]","[4, 1, 2]","[5, 1, 2]","[6, 0, 0]","[7, 1, 2]","[8, 2, 4]","[9, 3, 6]"
25,"[0, 1, 2]","[1, 1, 2]","[2, 0, 0]","[3, 0, 0]","[4, 1, 2]","[5, 1, 2]","[6, 0, 0]","[7, 1, 2]","[8, 2, 4]","[9, 3, 6]"
26,"[0, 1, 2]","[1, 1, 2]","[2, 0, 0]","[3, 0, 0]","[4, 1, 2]","[5, 2, 4]","[6, 0, 0]","[7, 1, 2]","[8, 2, 4]","[9, 3, 6]"
27,"[0, 1, 2]","[1, 1, 2]","[2, 0, 0]","[3, 0, 0]","[4, 1, 2]","[5, 3, 6]","[6, 0, 0]","[7, 1, 2]","[8, 2, 4]","[9, 3, 6]"
28,"[0, 1, 2]","[1, 1, 2]","[2, 0, 0]","[3, 0, 0]","[4, 1, 2]","[5, 3, 6]","[6, 0, 0]","[7, 1, 2]","[8, 2, 4]","[9, 2, 4]"
29,"[0, 0, 0]","[1, 1, 2]","[2, 0, 0]","[3, 0, 0]","[4, 1, 2]","[5, 3, 6]","[6, 0, 0]","[7, 1, 2]","[8, 2, 4]","[9, 2, 4]"
30,"[0, 0, 0]","[1, 1, 2]","[2, 0, 0]","[3, 0, 0]","[4, 1, 2]","[5, 3, 6]","[6, 0, 0]","[7, 1, 2]","[8, 2, 4]","[9, 1, 2]"
31,"[0, 0, 0]","[1, 1, 2]","[2, 0, 0]","[3, 0, 0]","[4, 2, 4]","[5, 3, 6]","[6, 0, 0]","[7, 1, 2]","[8, 2, 4]","[9, 1, 2]"
32,"[0, 0, 0]","[1, 1, 2]","[2, 0, 0]","[3, 0, 0]","[4, 2, 4]","[5, 3, 6]","[6, 0, 0]","[7, 1, 2]","[8, 2, 4]","[9, 0, 0]"
33,"[0, 0, 0]","[1, 0, 0]","[2, 0, 0]","[3, 0, 0]","[4, 2, 4]","[5, 3, 6]","[6, 0, 0]","[7, 1, 2]","[8, 2, 4]","[9, 0, 0]"
34,"[0, 0, 0]","[1, 0, 0]","[2, 0, 0]","[3, 1, 2]","[4, 2, 4]","[5, 3, 6]","[6, 0, 0]","[7, 1, 2]","[8, 2, 4]","[9, 0, 0]"
35,"[0, 0, 0]","[1, 0, 0]","[2, 0, 0]","[3, 1, 2]","[4, 2, 4]","[5, 3, 6]","[6, 0, 0]","[7, 1, 2]","[8, 1, 2]","[9, 0, 0]"
36,"[0, 0, 0]","[1, 0, 0]","[2, 0, 0]","[3, 1, 2]","[4, 2, 4]","[5, 3, 6]","[6, 0, 0]","[7, 1, 2]","[8, 0, 0]","[9, 0, 0]"
37,"[0, 0, 0]","[1, 0, 0]","[2, 1, 2]","[3, 1, 2]","[4, 2, 4]","[5, 3, 6]","[6, 0, 0]","[7, 1, 2]","[8, 0, 0]","[9, 0, 0]"
38,"[0, 1, 2]","[1, 0, 0]","[2, 1, 2]","[3, 1, 2]","[4, 2, 4]","[5, 3, 6]","[6, 0, 0]","[7, 1, 2]","[8, 0, 0]","[9, 0, 0]"
39,"[0, 1, 2]","[1, 0, 0]","[2, 1, 2]","[3, 1, 2]","[4, 3, 6]","[5, 3, 6]","[6, 0, 0]","[7, 1, 2]","[8, 0, 0]","[9, 0, 0]"
40,"[0, 1, 2]","[1, 0, 0]","[2, 1, 2]","[3, 1, 2]","[4, 3, 6]","[5, 3, 6]","[6, 0, 0]","[7, 1, 2]","[8, 1, 2]","[9, 0, 0]"
41,"[0, 1, 2]","[1, 0, 0]","[2, 1, 2]","[3, 1, 2]","[4, 3, 6]","[5, 3, 6]","[6, 0, 0]","[7, 2, 4]","[8, 1, 2]","[9, 0, 0]"
42,"[0, 1, 2]","[1, 0, 0]","[2, 1, 2]","[3, 1, 2]","[4, 3, 6]","[5, 3, 6]","[6, 1, 2]","[7, 2, 4]","[8, 1, 2]","[9, 0, 0]"
43,"[0, 1, 2]","[1, 0, 0]","[2, 1, 2]","[3, 1, 2]","[4, 3, 6]","[5, 3, 6]","[6, 1, 2]","[7, 3, 6]","[8, 1, 2]","[9, 0, 0]"
44,"[0, 1, 2]","[1, 0, 0]","[2, 1, 2]","[3, 1, 2]","[4, 3, 6]","[5, 3, 6]","[6, 1, 2]","[7, 3, 6]","[8, 1, 2]","[9, 1, 2]"
45,"[0, 1, 2]","[1, 0, 0]","[2, 1, 2]","[3, 1, 2]","[4, 3, 6]","[5, 3, 6]","[6, 1, 2]","[7, 3, 6]","[8, 2, 4]","[9, 1, 2]"
46,"[0, 1, 2]","[1, 0, 0]","[2, 1, 2]","[3, 1, 2]","[4, 3, 6]","[5, 3, 6]","[6, 1, 2]","[7, 4, 8]","[8, 2, 4]","[9, 1, 2]"
47,"[0, 1, 2]","[1, 0, 0]","[2, 1, 2]","[3, 1, 2]","[4, 3, 6]","[5, 3, 6]","[6, 2, 4]","[7, 4, 8]","[8, 2, 4]","[9, 1, 2]"
48,"[0, 1, 2]","[1, 0, 0]","[2, 1, 2]","[3, 1, 2]","[4, 3, 6]","[5, 3, 6]","[6, 2, 4]","[7, 5, 10]","[8, 2, 4]","[9, 1, 2]"
49,"[0, 1, 2]","[1, 0, 0]","[2, 1, 2]","[3, 1, 2]","[4, 3, 6]","[5, 3, 6]","[6, 2, 4]","[7, 5, 10]","[8, 2, 4]","[9, 2, 4]"
50,"[0, 1, 2]","[1, 0, 0]","[2, 1, 2]","[3, 1, 2]","[4, 3, 6]","[5, 3, 6]","[6, 2, 4]","[7, 5, 10]","[8, 2, 4]","[9, 2, 4]"
51,"[0, 1, 2]","[1, 0, 0]","[2, 1, 2]","[3, 2, 4]","[4, 3, 6]","[5, 3, 6]","[6, 2, 4]","[7, 5, 10]","[8, 2, 4]","[9, 2, 4]"
52,"[0, 1, 2]","[1, 0, 0]","[2, 1, 2]","[3, 2, 4]","[4, 3, 6]","[5, 3, 6]","[6, 2, 4]","[7, 5, 10]","[8, 2, 4]","[9, 2, 4]"
53,"[0, 1, 2]","[1, 0, 0]","[2, 1, 2]","[3, 3, 6]","[4, 3, 6]","[5, 3, 6]","[6, 2, 4]","[7, 5, 10]","[8, 2, 4]","[9, 2, 4]"
54,"[0, 1, 2]","[1, 0, 0]","[2, 1, 2]","[3, 4, 8]","[4, 3, 6]","[5, 3, 6]","[6, 2, 4]","[7, 5, 10]","[8, 2, 4]","[9, 2, 4]"
55,"[0, 1, 2]","[1, 0, 0]","[2, 1, 2]","[3, 4, 8]","[4, 3, 6]","[5, 3, 6]","[6, 2, 4]","[7, 5, 10]","[8, 2, 4]","[9, 2, 4]"
56,"[0, 1, 2]","[1, 0, 0]","[2, 1, 2]","[3, 4, 8]","[4, 4, 8]","[5, 3, 6]","[6, 2, 4]","[7, 5, 10]","[8, 2, 4]","[9, 2, 4]"
57,"[0, 1, 2]","[1, 1, 2]","[2, 1, 2]","[3, 4, 8]","[4, 4, 8]","[5, 3, 6]","[6, 2, 4]","[7, 5, 10]","[8, 2, 4]","[9, 2, 4]"
58,"[0, 1, 2]","[1, 1, 2]","[2, 1, 2]","[3, 4, 8]","[4, 4, 8]","[5, 3, 6]","[6, 2, 4]","[7, 5, 10]","[8, 2, 4]","[9, 2, 4]"
59,"[0, 1, 2]","[1, 1, 2]","[2, 1, 2]","[3, 4, 8]","[4, 5, 10]","[5, 3, 6]","[6, 2, 4]","[7, 5, 10]","[8, 2, 4]","[9, 2, 4]"
60,"[0, 1, 2]","[1, 1, 2]","[2, 1, 2]","[3, 5, 10]","[4, 5, 10]","[5, 3, 6]","[6, 2, 4]","[7, 5, 10]","[8, 2, 4]","[9, 2, 4]"
61,"[0, 1, 2]","[1, 1, 2]","[2, 1, 2]","[3, 5, 10]","[4, 5, 10]","[5, 2, 4]","[6, 2, 4]","[7, 5, 10]","[8, 2, 4]","[9, 2, 4]"
62,"[0, 1, 2]","[1, 1, 2]","[2, 1, 2]","[3, 5, 10]","[4, 5, 10]","[5, 2, 4]","[6, 2, 4]","[7, 4, 8]","[8, 2, 4]","[9, 2, 4]"
63,"[0, 1, 2]","[1, 1, 2]","[2, 1, 2]","[3, 5, 10]","[4, 5, 10]","[5, 2, 4]","[6, 2, 4]","[7, 3, 6]","[8, 2, 4]","[9, 2, 4]"
64,"[0, 1, 2]","[1, 1, 2]","[2, 1, 2]","[3, 5, 10]","[4, 5, 10]","[5, 2, 4]","[6, 2, 4]","[7, 2, 4]","[8, 2, 4]","[9, 2, 4]"
65,"[0, 1, 2]","[1, 1, 2]","[2, 1, 2]","[3, 5, 10]","[4, 5, 10]","[5, 2, 4]","[6, 2, 4]","[7, 2, 4]","[8, 2, 4]","[9, 2, 4]"
66,"[0, 0, 0]","[1, 1, 2]","[2, 1, 2]","[3, 5, 10]","[4, 5, 10]","[5, 2, 4]","[6, 2, 4]","[7, 2, 4]","[8, 2, 4]","[9, 2, 4]"
67,"[0, 0, 0]","[1, 1, 2]","[2, 1, 2]","[3, 5, 10]","[4, 4, 8]","[5, 2, 4]","[6, 2, 4]","[7, 2, 4]","[8, 2, 4]","[9, 2, 4]"
68,"[0, 0, 0]","[1, 1, 2]","[2, 1, 2]","[3, 5, 10]","[4, 4, 8]","[5, 2, 4]","[6, 2, 4]","[7, 3, 6]","[8, 2, 4]","[9, 2, 4]"
69,"[0, 0, 0]","[1, 1, 2]","[2, 1, 2]","[3, 5, 10]","[4, 4, 8]","[5, 2, 4]","[6, 2, 4]","[7, 3, 6]","[8, 2, 4]","[9, 2, 4]"
70,"[0, 0, 0]","[1, 1, 2]","[2, 2, 4]","[3, 5, 10]","[4, 4, 8]","[5, 2, 4]","[6, 2, 4]","[7, 3, 6]","[8, 2, 4]","[9, 2, 4]"
71,"[0, 0, 0]","[1, 1, 2]","[2, 2, 4]","[3, 5, 10]","[4, 4, 8]","[5, 2, 4]","[6, 2, 4]","[7, 4, 8]","[8, 2, 4]","[9, 2, 4]"
72,"[0, 0, 0]","[1, 1, 2]","[2, 2, 4]","[3, 5, 10]","[4, 5, 10]","[5, 2, 4]","[6, 2, 4]","[7, 4, 8]","[8, 2, 4]","[9, 2, 4]"
73,"[0, 0, 0]","[1, 1, 2]","[2, 2, 4]","[3, 5, 10]","[4, 4, 8]","[5, 2, 4]","[6, 2, 4]","[7, 4, 8]","[8, 2, 4]","[9, 2, 4]"
74,"[0, 1, 2]","[1, 1, 2]","[2, 2, 4]","[3, 5, 10]","[4, 4, 8]","[5, 2, 4]","[6, 2, 4]","[7, 4, 8]","[8, 2, 4]","[9, 2, 4]"
75,"[0, 1, 2]","[1, 1, 2]","[2, 2, 4]","[3, 5, 10]","[4, 4, 8]","[5, 2, 4]","[6, 3, 6]","[7, 4, 8]","[8, 2, 4]","[9, 2, 4]"
76,"[0, 1, 2]","[1, 2, 4]","[2, 2, 4]","[3, 5, 10]","[4, 4, 8]","[5, 2, 4]","[6, 3, 6]","[7, 4, 8]","[8, 2, 4]","[9, 2, 4]"
77,"[0, 1, 2]","[1, 3, 6]","[2, 2, 4]","[3, 5, 10]","[4, 4, 8]","[5, 2, 4]","[6, 3, 6]","[7, 4, 8]","[8, 2, 4]","[9, 2, 4]"
78,"[0, 2, 4]","[1, 3, 6]","[2, 2, 4]","[3, 5, 10]","[4, 4, 8]","[5, 2, 4]","[6, 3, 6]","[7, 4, 8]","[8, 2, 4]","[9, 2, 4]"
79,"[0, 2, 4]","[1, 3, 6]","[2, 2, 4]","[3, 5, 10]","[4, 4, 8]","[5, 2, 4]","[6, 3, 6]","[7, 3, 6]","[8, 2, 4]","[9, 2, 4]"
80,"[0, 2, 4]","[1, 3, 6]","[2, 2, 4]","[3, 5, 10]","[4, 4, 8]","[5, 2, 4]","[6, 3, 6]","[7, 3, 6]","[8, 2, 4]","[9, 2, 4]"
81,"[0, 2, 4]","[1, 3, 6]","[2, 2, 4]","[3, 5, 10]","[4, 3, 6]","[5, 2, 4]","[6, 3, 6]","[7, 3, 6]","[8, 2, 4]","[9, 2, 4]"
82,"[0, 2, 4]","[1, 3, 6]","[2, 2, 4]","[3, 5, 10]","[4, 3, 6]","[5, 3, 6]","[6, 3, 6]","[7, 3, 6]","[8, 2, 4]","[9, 2, 4]"
83,"[0, 2, 4]","[1, 3, 6]","[2, 2, 4]","[3, 5, 10]","[4, 3, 6]","[5, 3, 6]","[6, 4, 8]","[7, 3, 6]","[8, 2, 4]","[9, 2, 4]"
84,"[0, 2, 4]","[1, 3, 6]","[2, 2, 4]","[3, 5, 10]","[4, 3, 6]","[5, 3, 6]","[6, 4, 8]","[7, 3, 6]","[8, 2, 4]","[9, 2, 4]"
85,"[0, 2, 4]","[1, 3, 6]","[2, 2, 4]","[3, 5, 10]","[4, 4, 8]","[5, 3, 6]","[6, 4, 8]","[7, 3, 6]","[8, 2, 4]","[9, 2, 4]"
86,"[0, 2, 4]","[1, 4, 8]","[2, 2, 4]","[3, 5, 10]","[4, 4, 8]","[5, 3, 6]","[6, 4, 8]","[7, 3, 6]","[8, 2, 4]","[9, 2, 4]"
87,"[0, 3, 6]","[1, 4, 8]","[2, 2, 4]","[3, 5, 10]","[4, 4, 8]","[5, 3, 6]","[6, 4, 8]","[7, 3, 6]","[8, 2, 4]","[9, 2, 4]"
88,"[0, 3, 6]","[1, 4, 8]","[2, 2, 4]","[3, 5, 10]","[4, 4, 8]","[5, 2, 4]","[6, 4, 8]","[7, 3, 6]","[8, 2, 4]","[9, 2, 4]"
89,"[0, 3, 6]","[1, 4, 8]","[2, 2, 4]","[3, 5, 10]","[4, 4, 8]","[5, 2, 4]","[6, 4, 8]","[7, 3, 6]","[8, 1, 2]","[9, 2, 4]"
90,"[0, 3, 6]","[1, 4, 8]","[2, 2, 4]","[3, 5, 10]","[4, 4, 8]","[5, 2, 4]","[6, 4, 8]","[7, 3, 6]","[8, 1, 2]","[9, 2, 4]"
91,"[0, 3, 6]","[1, 4, 8]","[2, 1, 2]","[3, 5, 10]","[4, 4, 8]","[5, 2, 4]","[6, 4, 8]","[7, 3, 6]","[8, 1, 2]","[9, 2, 4]"
92,"[0, 3, 6]","[1, 4, 8]","[2, 1, 2]","[3, 5, 10]","[4, 4, 8]","[5, 2, 4]","[6, 4, 8]","[7, 3, 6]","[8, 1, 2]","[9, 1, 2]"
93,"[0, 3, 6]","[1, 4, 8]","[2, 1, 2]","[3, 5, 10]","[4, 4, 8]","[5, 2, 4]","[6, 4, 8]","[7, 3, 6]","[8, 0, 0]","[9, 1, 2]"
94,"[0, 3, 6]","[1, 4, 8]","[2, 1, 2]","[3, 5, 10]","[4, 3, 6]","[5, 2, 4]","[6, 4, 8]","[7, 3, 6]","[8, 0, 0]","[9, 1, 2]"
95,"[0, 3, 6]","[1, 4, 8]","[2, 1, 2]","[3, 4, 8]","[4, 3, 6]","[5, 2, 4]","[6, 4, 8]","[7, 3, 6]","[8, 0, 0]","[9, 1, 2]"
96,"[0, 3, 6]","[1, 4, 8]","[2, 1, 2]","[3, 4, 8]","[4, 2, 4]","[5, 2, 4]","[6, 4, 8]","[7, 3, 6]","[8, 0, 0]","[9, 1, 2]"
97,"[0, 3, 6]","[1, 4, 8]","[2, 1, 2]","[3, 4, 8]","[4, 2, 4]","[5, 3, 6]","[6, 4, 8]","[7, 3, 6]","[8, 0, 0]","[9, 1, 2]"
98,"[0, 3, 6]","[1, 3, 6]","[2, 1, 2]","[3, 4, 8]","[4, 2, 4]","[5, 3, 6]","[6, 4, 8]","[7, 3, 6]","[8, 0, 0]","[9, 1, 2]"
99,"[0, 3, 6]","[1, 3, 6]","[2, 1, 2]","[3, 4, 8]","[4, 2, 4]","[5, 3, 6]","[6, 4, 8]","[7, 2, 4]","[8, 0, 0]","[9, 1, 2]"
100,"[0, 3, 6]","[1, 3, 6]","[2, 1, 2]","[3, 4, 8]","[4, 1, 2]","[5, 3, 6]","[6, 4, 8]","[7, 2, 4]","[8, 0, 0]","[9, 1, 2]"
101,"[0, 2, 4]","[1, 3, 6]","[2, 1, 2]","[3, 4, 8]","[4, 1, 2]","[5, 3, 6]","[6, 4, 8]","[7, 2, 4]","[8, 0, 0]","[9, 1, 2]"
102,"[0, 2, 4]","[1, 2, 4]","[2, 1, 2]","[3, 4, 8]","[4, 1, 2]","[5, 3, 6]","[6, 4, 8]","[7, 2, 4]","[8, 0, 0]","[9, 1, 2]"
103,"[0, 2, 4]","[1, 2, 4]","[2, 1, 2]","[3, 4, 8]","[4, 1, 2]","[5, 3, 6]","[6, 4, 8]","[7, 1, 2]","[8, 0, 0]","[9, 1, 2]"
104,"[0, 2, 4]","[1, 2, 4]","[2, 1, 2]","[3, 3, 6]","[4, 1, 2]","[5, 3, 6]","[6, 4, 8]","[7, 1, 2]","[8, 0, 0]","[9, 1, 2]"
105,"[0, 2, 4]","[1, 2, 4]","[2, 1, 2]","[3, 2, 4]","[4, 1, 2]","[5, 3, 6]","[6, 4, 8]","[7, 1, 2]","[8, 0, 0]","[9, 1, 2]"
106,"[0, 2, 4]","[1, 2, 4]","[2, 0, 0]","[3, 2, 4]","[4, 1, 2]","[5, 3, 6]","[6, 4, 8]","[7, 1, 2]","[8, 0, 0]","[9, 1, 2]"
107,"[0, 2, 4]","[1, 2, 4]","[2, 0, 0]","[3, 2, 4]","[4, 1, 2]","[5, 3, 6]","[6, 4, 8]","[7, 2, 4]","[8, 0, 0]","[9, 1, 2]"
108,"[0, 2, 4]","[1, 2, 4]","[2, 0, 0]","[3, 2, 4]","[4, 2, 4]","[5, 3, 6]","[6, 4, 8]","[7, 2, 4]","[8, 0, 0]","[9, 1, 2]"
109,"[0, 2, 4]","[1, 2, 4]","[2, 0, 0]","[3, 3, 6]","[4, 2, 4]","[5, 3, 6]","[6, 4, 8]","[7, 2, 4]","[8, 0, 0]","[9, 1, 2]"
110,"[0, 2, 4]","[1, 2, 4]","[2, 1, 2]","[3, 3, 6]","[4, 2, 4]","[5, 3, 6]","[6, 4, 8]","[7, 2, 4]","[8, 0, 0]","[9, 1, 2]"
111,"[0, 2, 4]","[1, 3, 6]","[2, 1, 2]","[3, 3, 6]","[4, 2, 4]","[5, 3, 6]","[6, 4, 8]","[7, 2, 4]","[8, 0, 0]","[9, 1, 2]"
112,"[0, 2, 4]","[1, 3, 6]","[2, 1, 2]","[3, 3, 6]","[4, 2, 4]","[5, 3, 6]","[6, 5, 10]","[7, 2, 4]","[8, 0, 0]","[9, 1, 2]"
113,"[0, 2, 4]","[1, 3, 6]","[2, 1, 2]","[3, 4, 8]","[4, 2, 4]","[5, 3, 6]","[6, 5, 10]","[7, 2, 4]","[8, 0, 0]","[9, 1, 2]"
114,"[0, 2, 4]","[1, 3, 6]","[2, 2, 4]","[3, 4, 8]","[4, 2, 4]","[5, 3, 6]","[6, 5, 10]","[7, 2, 4]","[8, 0, 0]","[9, 1, 2]"
115,"[0, 2, 4]","[1, 3, 6]","[2, 3, 6]","[3, 4, 8]","[4, 2, 4]","[5, 3, 6]","[6, 5, 10]","[7, 2, 4]","[8, 0, 0]","[9, 1, 2]"
