,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
16,"[5, 2, 1, 2]","[6, 2, 1, 2]","[7, 2, 0, 2]","[8, 2, 0, 2]","[9, 2, 9, 2]","[10, 2, 9, 0]","[11, 2, 9, 0]","[12, 2, 0, 0]","[13, 2, 9, 0]",,,,,,,,,,,,,,,,,,,,,,,
17,"[5, 2, 1, 2]","[6, 2, 1, 2]","[7, 2, 0, 2]","[8, 2, 0, 2]","[9, 2, 9, 2]","[10, 2, 9, 0]","[11, 2, 9, 0]","[12, 2, 0, 0]","[13, 2, 9, 0]","[14, 2, 8, 0]",,,,,,,,,,,,,,,,,,,,,,
18,"[5, 2, 1, 2]","[6, 2, 1, 2]","[7, 2, 0, 2]","[8, 2, 0, 2]","[9, 2, 9, 2]","[10, 2, 9, 0]","[11, 2, 9, 0]","[12, 2, 0, 0]","[13, 2, 9, 0]","[14, 2, 8, 0]","[15, 2, 8, 0]",,,,,,,,,,,,,,,,,,,,,
19,"[5, 2, 1, 2]","[6, 2, 1, 2]","[7, 2, 0, 0]","[8, 2, 0, 0]","[9, 2, 9, 0]","[10, 2, 9, 0]","[11, 2, 9, 0]","[12, 2, 0, 0]","[13, 2, 9, 0]","[14, 2, 8, 0]","[15, 2, 8, 0]","[16, 2, 7, 0]",,,,,,,,,,,,,,,,,,,,
20,"[5, 2, 1, 2]","[6, 2, 1, 2]","[7, 2, 0, 0]","[9, 2, 9, 0]","[10, 2, 9, 0]","[11, 2, 9, 0]","[12, 2, 0, 0]","[13, 2, 9, 0]","[14, 2, 8, 0]","[15, 2, 8, 0]","[16, 2, 7, 0]",,,,,,,,,,,,,,,,,,,,,
21,"[5, 2, 1, 2]","[6, 2, 1, 2]","[7, 2, 0, 0]","[9, 2, 9, 0]","[10, 2, 9, 2]","[11, 2, 9, 2]","[12, 2, 0, 0]","[13, 2, 9, 0]","[14, 2, 8, 0]","[15, 2, 8, 0]","[16, 2, 7, 0]","[17, 2, 5, 0]",,,,,,,,,,,,,,,,,,,,
22,"[5, 2, 1, 2]","[6, 2, 1, 2]","[7, 2, 0, 0]","[9, 2, 9, 0]","[10, 2, 9, 0]","[11, 2, 9, 0]","[12, 2, 0, 0]","[13, 2, 9, 0]","[14, 2, 8, 0]","[15, 2, 8, 0]","[16, 2, 7, 0]","[17, 2, 5, 0]","[18, 2, 4, 0]",,,,,,,,,,,,,,,,,,,
23,"[5, 2, 1, 2]","[6, 2, 1, 2]","[7, 2, 0, 0]","[9, 2, 9, 0]","[10, 2, 9, 0]","[11, 2, 9, 0]","[13, 2, 9, 0]","[14, 2, 8, 0]","[15, 2, 8, 0]","[16, 2, 7, 0]","[17, 2, 5, 0]","[18, 2, 4, 0]",,,,,,,,,,,,,,,,,,,,
24,"[5, 2, 1, 2]","[6, 2, 1, 2]","[7, 2, 0, 0]","[9, 2, 9, 0]","[11, 2, 9, 0]","[13, 2, 9, 0]","[14, 2, 8, 0]","[15, 2, 8, 0]","[16, 2, 7, 0]","[17, 2, 5, 0]","[18, 2, 4, 0]",,,,,,,,,,,,,,,,,,,,,
25,"[5, 2, 1, 2]","[7, 2, 0, 0]","[9, 2, 9, 0]","[11, 2, 9, 0]","[13, 2, 9, 0]","[14, 2, 8, 0]","[15, 2, 8, 0]","[16, 2, 7, 0]","[17, 2, 5, 0]","[18, 2, 4, 0]",,,,,,,,,,,,,,,,,,,,,,
26,"[5, 2, 1, 2]","[7, 2, 0, 0]","[9, 2, 9, 0]","[11, 2, 9, 0]","[13, 2, 9, 0]","[14, 2, 8, 2]","[15, 2, 8, 2]","[16, 2, 7, 2]","[17, 2, 5, 0]","[18, 2, 4, 0]","[19, 2, 5, 0]",,,,,,,,,,,,,,,,,,,,,
27,"[5, 2, 1, 2]","[7, 2, 0, 0]","[9, 2, 9, 0]","[11, 2, 9, 0]","[13, 2, 9, 0]","[14, 2, 8, 2]","[15, 2, 8, 0]","[16, 2, 7, 0]","[17, 2, 5, 0]","[18, 2, 4, 0]","[19, 2, 5, 0]","[20, 2, 5, 0]",,,,,,,,,,,,,,,,,,,,
28,"[5, 2, 1, 2]","[7, 2, 0, 0]","[9, 2, 9, 0]","[11, 2, 9, 0]","[14, 2, 8, 2]","[15, 2, 8, 0]","[16, 2, 7, 0]","[17, 2, 5, 0]","[18, 2, 4, 0]","[19, 2, 5, 0]","[20, 2, 5, 0]",,,,,,,,,,,,,,,,,,,,,
29,"[5, 2, 1, 0]","[9, 2, 9, 0]","[11, 2, 9, 0]","[14, 2, 8, 2]","[15, 2, 8, 0]","[16, 2, 7, 0]","[17, 2, 5, 0]","[18, 2, 4, 0]","[19, 2, 5, 0]","[20, 2, 5, 0]",,,,,,,,,,,,,,,,,,,,,,
30,"[5, 2, 1, 0]","[9, 2, 9, 0]","[14, 2, 8, 2]","[15, 2, 8, 0]","[16, 2, 7, 0]","[17, 2, 5, 0]","[18, 2, 4, 0]","[19, 2, 5, 0]","[20, 2, 5, 0]",,,,,,,,,,,,,,,,,,,,,,,
31,"[5, 2, 1, 0]","[9, 2, 9, 1]","[14, 2, 8, 2]","[15, 2, 8, 0]","[16, 2, 7, 0]","[17, 2, 5, 0]","[18, 2, 4, 0]","[19, 2, 5, 0]","[20, 2, 5, 0]","[21, 2, 4, 0]",,,,,,,,,,,,,,,,,,,,,,
32,"[5, 2, 1, 0]","[14, 2, 8, 2]","[15, 2, 8, 0]","[16, 2, 7, 0]","[17, 2, 5, 0]","[18, 2, 4, 0]","[19, 2, 5, 0]","[20, 2, 5, 0]","[21, 2, 4, 0]",,,,,,,,,,,,,,,,,,,,,,,
33,"[14, 2, 8, 2]","[15, 2, 8, 1]","[16, 2, 7, 0]","[17, 2, 5, 0]","[18, 2, 4, 0]","[19, 2, 5, 0]","[20, 2, 5, 0]","[21, 2, 4, 0]",,,,,,,,,,,,,,,,,,,,,,,,
34,"[14, 2, 8, 2]","[15, 2, 8, 0]","[16, 2, 7, 0]","[17, 2, 5, 0]","[18, 2, 4, 0]","[19, 2, 5, 0]","[20, 2, 5, 0]","[21, 2, 4, 0]","[22, 2, 3, 0]",,,,,,,,,,,,,,,,,,,,,,,
35,"[15, 2, 8, 0]","[16, 2, 7, 0]","[17, 2, 5, 0]","[18, 2, 4, 0]","[19, 2, 5, 0]","[20, 2, 5, 0]","[21, 2, 4, 0]","[22, 2, 3, 0]",,,,,,,,,,,,,,,,,,,,,,,,
36,"[16, 2, 7, 0]","[17, 2, 5, 2]","[18, 2, 4, 0]","[19, 2, 5, 0]","[20, 2, 5, 0]","[21, 2, 4, 0]","[22, 2, 3, 0]",,,,,,,,,,,,,,,,,,,,,,,,,
37,"[16, 2, 7, 0]","[17, 2, 5, 2]","[18, 2, 4, 0]","[19, 2, 5, 0]","[20, 2, 5, 0]","[21, 2, 4, 0]","[22, 2, 3, 0]","[23, 2, 2, 0]",,,,,,,,,,,,,,,,,,,,,,,,
38,"[16, 2, 7, 0]","[17, 2, 5, 2]","[18, 2, 4, 0]","[19, 2, 5, 0]","[20, 2, 5, 0]","[21, 2, 4, 0]","[22, 2, 3, 0]","[23, 2, 2, 0]","[24, 2, 0, 0]",,,,,,,,,,,,,,,,,,,,,,,
39,"[16, 2, 7, 0]","[17, 2, 5, 2]","[18, 2, 4, 2]","[19, 2, 5, 2]","[20, 2, 5, 2]","[21, 2, 4, 2]","[22, 2, 3, 0]","[23, 2, 2, 0]","[24, 2, 0, 0]","[25, 2, 4, 0]",,,,,,,,,,,,,,,,,,,,,,
40,"[16, 2, 7, 0]","[17, 2, 5, 2]","[18, 2, 4, 2]","[19, 2, 5, 2]","[20, 2, 5, 2]","[21, 2, 4, 2]","[22, 2, 3, 0]","[23, 2, 2, 0]","[24, 2, 0, 0]","[25, 2, 4, 0]","[26, 2, 8, 0]",,,,,,,,,,,,,,,,,,,,,
41,"[16, 2, 7, 0]","[17, 2, 5, 2]","[18, 2, 4, 2]","[19, 2, 5, 2]","[20, 2, 5, 2]","[21, 2, 4, 2]","[22, 2, 3, 0]","[23, 2, 2, 0]","[24, 2, 0, 0]","[25, 2, 4, 0]","[26, 2, 8, 0]","[27, 2, 7, 0]",,,,,,,,,,,,,,,,,,,,
42,"[16, 2, 7, 0]","[17, 2, 5, 2]","[18, 2, 4, 2]","[19, 2, 5, 2]","[20, 2, 5, 2]","[21, 2, 4, 2]","[22, 2, 3, 0]","[23, 2, 2, 0]","[24, 2, 0, 0]","[25, 2, 4, 0]","[26, 2, 8, 0]","[27, 2, 7, 0]","[28, 2, 6, 0]",,,,,,,,,,,,,,,,,,,
43,"[16, 2, 7, 0]","[17, 2, 5, 2]","[18, 2, 4, 2]","[19, 2, 5, 2]","[20, 2, 5, 2]","[21, 2, 4, 2]","[22, 2, 3, 2]","[23, 2, 2, 2]","[24, 2, 0, 2]","[25, 2, 4, 0]","[26, 2, 8, 0]","[27, 2, 7, 0]","[28, 2, 6, 0]","[29, 2, 7, 0]",,,,,,,,,,,,,,,,,,
44,"[16, 2, 7, 0]","[17, 2, 5, 2]","[18, 2, 4, 2]","[19, 2, 5, 2]","[20, 2, 5, 2]","[21, 2, 4, 2]","[22, 2, 3, 2]","[23, 2, 2, 2]","[24, 2, 0, 2]","[25, 2, 4, 0]","[26, 2, 8, 0]","[27, 2, 7, 0]","[28, 2, 6, 0]","[29, 2, 7, 0]","[30, 2, 9, 0]",,,,,,,,,,,,,,,,,
45,"[16, 2, 7, 0]","[17, 2, 5, 2]","[18, 2, 4, 2]","[19, 2, 5, 2]","[20, 2, 5, 2]","[21, 2, 4, 2]","[22, 2, 3, 2]","[23, 2, 2, 2]","[24, 2, 0, 2]","[25, 2, 4, 0]","[26, 2, 8, 0]","[27, 2, 7, 0]","[28, 2, 6, 0]","[29, 2, 7, 0]","[30, 2, 9, 0]","[31, 2, 8, 0]",,,,,,,,,,,,,,,,
46,"[16, 2, 7, 0]","[17, 2, 5, 2]","[18, 2, 4, 2]","[19, 2, 5, 2]","[20, 2, 5, 2]","[21, 2, 4, 2]","[22, 2, 3, 2]","[23, 2, 2, 2]","[24, 2, 0, 2]","[25, 2, 4, 0]","[26, 2, 8, 0]","[27, 2, 7, 0]","[28, 2, 6, 0]","[29, 2, 7, 0]","[30, 2, 9, 0]","[31, 2, 8, 0]","[32, 2, 7, 0]",,,,,,,,,,,,,,,
47,"[16, 2, 7, 0]","[17, 2, 5, 2]","[18, 2, 4, 2]","[19, 2, 5, 2]","[20, 2, 5, 2]","[21, 2, 4, 2]","[22, 2, 3, 2]","[23, 2, 2, 2]","[24, 2, 0, 2]","[25, 2, 4, 0]","[26, 2, 8, 0]","[27, 2, 7, 0]","[28, 2, 6, 0]","[29, 2, 7, 0]","[30, 2, 9, 0]","[31, 2, 8, 0]","[32, 2, 7, 0]","[33, 2, 6, 0]",,,,,,,,,,,,,,
48,"[16, 2, 7, 0]","[17, 2, 5, 2]","[18, 2, 4, 2]","[19, 2, 5, 2]","[20, 2, 5, 2]","[21, 2, 4, 2]","[22, 2, 3, 2]","[23, 2, 2, 2]","[24, 2, 0, 2]","[25, 2, 4, 2]","[26, 2, 8, 2]","[27, 2, 7, 2]","[28, 2, 6, 2]","[29, 2, 7, 0]","[30, 2, 9, 0]","[31, 2, 8, 0]","[32, 2, 7, 0]","[33, 2, 6, 0]","[34, 2, 7, 0]",,,,,,,,,,,,,
49,"[16, 2, 7, 0]","[17, 2, 5, 2]","[18, 2, 4, 2]","[19, 2, 5, 2]","[20, 2, 5, 2]","[21, 2, 4, 2]","[22, 2, 3, 2]","[23, 2, 2, 2]","[24, 2, 0, 2]","[25, 2, 4, 2]","[26, 2, 8, 2]","[27, 2, 7, 2]","[28, 2, 6, 2]","[29, 2, 7, 0]","[30, 2, 9, 0]","[31, 2, 8, 0]","[32, 2, 7, 0]","[33, 2, 6, 0]","[34, 2, 7, 0]","[35, 2, 9, 0]",,,,,,,,,,,,
50,"[16, 2, 7, 0]","[17, 2, 5, 2]","[18, 2, 4, 0]","[19, 2, 5, 0]","[20, 2, 5, 0]","[21, 2, 4, 1]","[22, 2, 3, 2]","[23, 2, 2, 2]","[24, 2, 0, 2]","[25, 2, 4, 2]","[26, 2, 8, 2]","[27, 2, 7, 2]","[28, 2, 6, 2]","[29, 2, 7, 0]","[30, 2, 9, 0]","[31, 2, 8, 0]","[32, 2, 7, 0]","[33, 2, 6, 0]","[34, 2, 7, 0]","[35, 2, 9, 0]",,,,,,,,,,,,
51,"[16, 2, 7, 0]","[17, 2, 5, 2]","[18, 2, 4, 0]","[19, 2, 5, 0]","[20, 2, 5, 0]","[21, 2, 4, 0]","[22, 2, 3, 2]","[23, 2, 2, 2]","[24, 2, 0, 2]","[25, 2, 4, 2]","[26, 2, 8, 2]","[27, 2, 7, 2]","[28, 2, 6, 2]","[29, 2, 7, 0]","[30, 2, 9, 0]","[31, 2, 8, 0]","[32, 2, 7, 0]","[33, 2, 6, 0]","[34, 2, 7, 0]","[35, 2, 9, 0]","[36, 2, 3, 0]",,,,,,,,,,,
52,"[16, 2, 7, 0]","[17, 2, 5, 2]","[18, 2, 4, 0]","[19, 2, 5, 0]","[20, 2, 5, 0]","[21, 2, 4, 0]","[22, 2, 3, 2]","[23, 2, 2, 2]","[24, 2, 0, 2]","[25, 2, 4, 2]","[26, 2, 8, 2]","[27, 2, 7, 2]","[28, 2, 6, 2]","[29, 2, 7, 2]","[30, 2, 9, 0]","[31, 2, 8, 0]","[32, 2, 7, 0]","[33, 2, 6, 0]","[34, 2, 7, 0]","[35, 2, 9, 0]","[36, 2, 3, 0]",,,,,,,,,,,
53,"[16, 2, 7, 0]","[17, 2, 5, 2]","[18, 2, 4, 0]","[19, 2, 5, 0]","[20, 2, 5, 0]","[21, 2, 4, 0]","[22, 2, 3, 2]","[23, 2, 2, 2]","[24, 2, 0, 2]","[25, 2, 4, 2]","[26, 2, 8, 2]","[27, 2, 7, 2]","[28, 2, 6, 2]","[29, 2, 7, 2]","[30, 2, 9, 0]","[31, 2, 8, 0]","[32, 2, 7, 0]","[33, 2, 6, 0]","[34, 2, 7, 0]","[35, 2, 9, 0]","[36, 2, 3, 0]","[37, 2, 3, 0]",,,,,,,,,,
54,"[16, 2, 7, 0]","[17, 2, 5, 0]","[18, 2, 4, 0]","[19, 2, 5, 0]","[20, 2, 5, 0]","[21, 2, 4, 0]","[22, 2, 3, 2]","[23, 2, 2, 2]","[24, 2, 0, 2]","[25, 2, 4, 2]","[26, 2, 8, 2]","[27, 2, 7, 2]","[28, 2, 6, 2]","[29, 2, 7, 2]","[30, 2, 9, 0]","[31, 2, 8, 0]","[32, 2, 7, 0]","[33, 2, 6, 0]","[34, 2, 7, 0]","[35, 2, 9, 0]","[36, 2, 3, 0]","[37, 2, 3, 0]","[38, 2, 3, 0]",,,,,,,,,
55,"[16, 2, 7, 0]","[17, 2, 5, 0]","[18, 2, 4, 0]","[19, 2, 5, 0]","[20, 2, 5, 0]","[21, 2, 4, 0]","[22, 2, 3, 2]","[23, 2, 2, 2]","[24, 2, 0, 2]","[25, 2, 4, 2]","[26, 2, 8, 2]","[27, 2, 7, 2]","[28, 2, 6, 2]","[29, 2, 7, 2]","[30, 2, 9, 2]","[31, 2, 8, 2]","[32, 2, 7, 2]","[33, 2, 6, 2]","[34, 2, 7, 0]","[35, 2, 9, 0]","[36, 2, 3, 0]","[37, 2, 3, 0]","[38, 2, 3, 0]",,,,,,,,,
56,"[16, 2, 7, 0]","[17, 2, 5, 0]","[18, 2, 4, 0]","[19, 2, 5, 0]","[20, 2, 5, 0]","[21, 2, 4, 0]","[22, 2, 3, 0]","[23, 2, 2, 0]","[24, 2, 0, 0]","[25, 2, 4, 2]","[26, 2, 8, 2]","[27, 2, 7, 2]","[28, 2, 6, 2]","[29, 2, 7, 2]","[30, 2, 9, 2]","[31, 2, 8, 2]","[32, 2, 7, 2]","[33, 2, 6, 2]","[34, 2, 7, 0]","[35, 2, 9, 0]","[36, 2, 3, 0]","[37, 2, 3, 0]","[38, 2, 3, 0]","[39, 2, 4, 0]",,,,,,,,
57,"[16, 2, 7, 0]","[17, 2, 5, 0]","[18, 2, 4, 0]","[19, 2, 5, 0]","[20, 2, 5, 0]","[21, 2, 4, 0]","[22, 2, 3, 0]","[23, 2, 2, 0]","[24, 2, 0, 0]","[25, 2, 4, 2]","[26, 2, 8, 2]","[27, 2, 7, 2]","[28, 2, 6, 2]","[29, 2, 7, 2]","[30, 2, 9, 2]","[31, 2, 8, 2]","[32, 2, 7, 2]","[33, 2, 6, 2]","[34, 2, 7, 0]","[35, 2, 9, 0]","[36, 2, 3, 0]","[37, 2, 3, 0]","[38, 2, 3, 0]","[39, 2, 4, 0]","[40, 2, 1, 0]",,,,,,,
58,"[16, 2, 7, 0]","[17, 2, 5, 0]","[18, 2, 4, 0]","[19, 2, 5, 0]","[20, 2, 5, 0]","[21, 2, 4, 0]","[22, 2, 3, 0]","[23, 2, 2, 0]","[24, 2, 0, 0]","[25, 2, 4, 2]","[26, 2, 8, 2]","[27, 2, 7, 2]","[28, 2, 6, 2]","[29, 2, 7, 2]","[30, 2, 9, 2]","[31, 2, 8, 2]","[32, 2, 7, 2]","[33, 2, 6, 2]","[34, 2, 7, 2]","[35, 2, 9, 2]","[36, 2, 3, 2]","[37, 2, 3, 0]","[38, 2, 3, 0]","[39, 2, 4, 0]","[40, 2, 1, 0]",,,,,,,
59,"[16, 2, 7, 0]","[17, 2, 5, 0]","[18, 2, 4, 0]","[19, 2, 5, 0]","[20, 2, 5, 0]","[21, 2, 4, 0]","[22, 2, 3, 0]","[23, 2, 2, 0]","[24, 2, 0, 0]","[25, 2, 4, 2]","[26, 2, 8, 2]","[27, 2, 7, 2]","[28, 2, 6, 2]","[29, 2, 7, 2]","[30, 2, 9, 2]","[31, 2, 8, 2]","[32, 2, 7, 2]","[33, 2, 6, 2]","[34, 2, 7, 2]","[35, 2, 9, 2]","[36, 2, 3, 2]","[37, 2, 3, 0]","[38, 2, 3, 0]","[39, 2, 4, 0]","[40, 2, 1, 0]","[41, 2, 4, 0]",,,,,,
60,"[16, 2, 7, 0]","[17, 2, 5, 0]","[18, 2, 4, 0]","[19, 2, 5, 0]","[20, 2, 5, 0]","[21, 2, 4, 0]","[22, 2, 3, 0]","[23, 2, 2, 0]","[24, 2, 0, 0]","[25, 2, 4, 0]","[26, 2, 8, 0]","[27, 2, 7, 0]","[28, 2, 6, 0]","[29, 2, 7, 2]","[30, 2, 9, 2]","[31, 2, 8, 2]","[32, 2, 7, 2]","[33, 2, 6, 2]","[34, 2, 7, 2]","[35, 2, 9, 2]","[36, 2, 3, 2]","[37, 2, 3, 0]","[38, 2, 3, 0]","[39, 2, 4, 0]","[40, 2, 1, 0]","[41, 2, 4, 0]","[42, 2, 3, 0]",,,,,
61,"[16, 2, 7, 0]","[17, 2, 5, 0]","[18, 2, 4, 0]","[20, 2, 5, 0]","[21, 2, 4, 0]","[22, 2, 3, 0]","[23, 2, 2, 0]","[24, 2, 0, 0]","[25, 2, 4, 0]","[26, 2, 8, 0]","[27, 2, 7, 0]","[28, 2, 6, 0]","[29, 2, 7, 2]","[30, 2, 9, 2]","[31, 2, 8, 2]","[32, 2, 7, 2]","[33, 2, 6, 2]","[34, 2, 7, 2]","[35, 2, 9, 2]","[36, 2, 3, 2]","[37, 2, 3, 0]","[38, 2, 3, 0]","[39, 2, 4, 0]","[40, 2, 1, 0]","[41, 2, 4, 0]","[42, 2, 3, 0]",,,,,,
62,"[17, 2, 5, 0]","[18, 2, 4, 0]","[20, 2, 5, 0]","[21, 2, 4, 0]","[22, 2, 3, 0]","[23, 2, 2, 0]","[24, 2, 0, 0]","[25, 2, 4, 0]","[26, 2, 8, 0]","[27, 2, 7, 0]","[28, 2, 6, 0]","[29, 2, 7, 2]","[30, 2, 9, 0]","[31, 2, 8, 0]","[32, 2, 7, 0]","[33, 2, 6, 0]","[34, 2, 7, 2]","[35, 2, 9, 2]","[36, 2, 3, 2]","[37, 2, 3, 0]","[38, 2, 3, 0]","[39, 2, 4, 0]","[40, 2, 1, 0]","[41, 2, 4, 0]","[42, 2, 3, 0]",,,,,,,
63,"[17, 2, 5, 0]","[18, 2, 4, 0]","[20, 2, 5, 0]","[21, 2, 4, 0]","[22, 2, 3, 0]","[23, 2, 2, 0]","[24, 2, 0, 0]","[25, 2, 4, 0]","[26, 2, 8, 0]","[27, 2, 7, 0]","[28, 2, 6, 0]","[30, 2, 9, 0]","[31, 2, 8, 0]","[32, 2, 7, 0]","[33, 2, 6, 0]","[34, 2, 7, 0]","[35, 2, 9, 0]","[36, 2, 3, 1]","[37, 2, 3, 0]","[38, 2, 3, 0]","[39, 2, 4, 0]","[40, 2, 1, 0]","[41, 2, 4, 0]","[42, 2, 3, 0]",,,,,,,,
64,"[17, 2, 5, 0]","[18, 2, 4, 0]","[20, 2, 5, 0]","[21, 2, 4, 0]","[22, 2, 3, 0]","[23, 2, 2, 0]","[24, 2, 0, 0]","[25, 2, 4, 0]","[26, 2, 8, 0]","[27, 2, 7, 0]","[28, 2, 6, 0]","[30, 2, 9, 0]","[31, 2, 8, 0]","[33, 2, 6, 0]","[34, 2, 7, 0]","[35, 2, 9, 0]","[36, 2, 3, 0]","[37, 2, 3, 0]","[38, 2, 3, 0]","[39, 2, 4, 2]","[40, 2, 1, 0]","[41, 2, 4, 0]","[42, 2, 3, 0]",,,,,,,,,
65,"[17, 2, 5, 2]","[18, 2, 4, 0]","[20, 2, 5, 0]","[21, 2, 4, 0]","[22, 2, 3, 0]","[23, 2, 2, 0]","[24, 2, 0, 0]","[25, 2, 4, 0]","[26, 2, 8, 0]","[27, 2, 7, 0]","[28, 2, 6, 0]","[30, 2, 9, 0]","[31, 2, 8, 0]","[33, 2, 6, 0]","[34, 2, 7, 0]","[35, 2, 9, 0]","[36, 2, 3, 0]","[37, 2, 3, 0]","[38, 2, 3, 0]","[39, 2, 4, 2]","[40, 2, 1, 2]","[41, 2, 4, 2]","[42, 2, 3, 2]",,,,,,,,,
66,"[17, 2, 5, 2]","[18, 2, 4, 0]","[20, 2, 5, 0]","[21, 2, 4, 0]","[22, 2, 3, 0]","[23, 2, 2, 0]","[25, 2, 4, 0]","[26, 2, 8, 0]","[27, 2, 7, 0]","[28, 2, 6, 0]","[30, 2, 9, 0]","[31, 2, 8, 0]","[33, 2, 6, 0]","[34, 2, 7, 0]","[35, 2, 9, 0]","[36, 2, 3, 0]","[37, 2, 3, 0]","[38, 2, 3, 0]","[39, 2, 4, 2]","[40, 2, 1, 2]","[41, 2, 4, 2]","[42, 2, 3, 2]",,,,,,,,,,
67,"[17, 2, 5, 2]","[18, 2, 4, 0]","[20, 2, 5, 0]","[21, 2, 4, 0]","[22, 2, 3, 0]","[23, 2, 2, 0]","[26, 2, 8, 0]","[27, 2, 7, 0]","[28, 2, 6, 0]","[30, 2, 9, 0]","[31, 2, 8, 0]","[33, 2, 6, 0]","[34, 2, 7, 0]","[35, 2, 9, 0]","[36, 2, 3, 0]","[37, 2, 3, 0]","[38, 2, 3, 0]","[39, 2, 4, 2]","[40, 2, 1, 2]","[41, 2, 4, 2]","[42, 2, 3, 2]",,,,,,,,,,,
68,"[17, 2, 5, 2]","[18, 2, 4, 2]","[20, 2, 5, 2]","[21, 2, 4, 2]","[22, 2, 3, 2]","[23, 2, 2, 0]","[26, 2, 8, 0]","[27, 2, 7, 0]","[28, 2, 6, 0]","[30, 2, 9, 0]","[31, 2, 8, 0]","[33, 2, 6, 0]","[34, 2, 7, 0]","[35, 2, 9, 0]","[36, 2, 3, 0]","[37, 2, 3, 0]","[38, 2, 3, 0]","[39, 2, 4, 2]","[40, 2, 1, 2]","[41, 2, 4, 2]","[42, 2, 3, 2]","[43, 2, 7, 0]",,,,,,,,,,
69,"[17, 2, 5, 2]","[18, 2, 4, 2]","[20, 2, 5, 2]","[21, 2, 4, 2]","[22, 2, 3, 2]","[23, 2, 2, 0]","[26, 2, 8, 0]","[27, 2, 7, 0]","[28, 2, 6, 0]","[30, 2, 9, 0]","[31, 2, 8, 0]","[33, 2, 6, 0]","[34, 2, 7, 0]","[35, 2, 9, 0]","[36, 2, 3, 0]","[37, 2, 3, 0]","[38, 2, 3, 0]","[39, 2, 4, 2]","[40, 2, 1, 2]","[41, 2, 4, 2]","[42, 2, 3, 2]","[43, 2, 7, 0]",,,,,,,,,,
