,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
13,"[0, 2, 0, 2]","[1, 4, 1, 2]","[3, 2, 9, 0]","[5, 2, 1, 0]","[6, 2, 9, 0]","[7, 2, 9, 0]","[8, 2, 8, 0]","[9, 2, 2, 0]","[10, 2, 6, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[13, 2, 3, 0]",,,,,,,,,,
14,"[0, 2, 0, 2]","[1, 4, 1, 2]","[3, 2, 9, 0]","[5, 2, 1, 0]","[6, 2, 9, 0]","[7, 2, 9, 0]","[8, 2, 8, 0]","[9, 2, 2, 0]","[10, 2, 6, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[13, 2, 3, 0]","[14, 2, 0, 0]",,,,,,,,,
15,"[0, 2, 0, 2]","[1, 4, 1, 4]","[3, 2, 9, 2]","[5, 2, 1, 2]","[6, 2, 9, 0]","[7, 2, 9, 0]","[8, 2, 8, 0]","[9, 2, 2, 0]","[10, 2, 6, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[13, 2, 3, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]",,,,,,,,
16,"[0, 2, 0, 2]","[1, 4, 1, 4]","[3, 2, 9, 2]","[5, 2, 1, 2]","[6, 2, 9, 0]","[7, 2, 9, 0]","[8, 2, 8, 0]","[9, 2, 2, 0]","[10, 2, 6, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[13, 2, 3, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]","[16, 2, 4, 0]",,,,,,,
17,"[0, 2, 0, 2]","[1, 4, 1, 4]","[3, 2, 9, 2]","[5, 2, 1, 2]","[6, 2, 9, 0]","[7, 2, 9, 0]","[8, 2, 8, 0]","[9, 2, 2, 0]","[10, 2, 6, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[13, 2, 3, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]","[16, 2, 4, 0]","[17, 2, 3, 0]",,,,,,
18,"[0, 2, 0, 2]","[1, 4, 1, 4]","[3, 2, 9, 2]","[5, 2, 1, 2]","[6, 2, 9, 0]","[7, 2, 9, 0]","[9, 2, 2, 0]","[10, 2, 6, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[13, 2, 3, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]","[16, 2, 4, 0]","[17, 2, 3, 0]",,,,,,,
19,"[0, 2, 0, 2]","[1, 4, 1, 2]","[5, 2, 1, 0]","[6, 2, 9, 0]","[7, 2, 9, 0]","[9, 2, 2, 0]","[10, 2, 6, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[13, 2, 3, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]","[16, 2, 4, 0]","[17, 2, 3, 0]",,,,,,,,
20,"[0, 2, 0, 2]","[1, 4, 1, 2]","[5, 2, 1, 0]","[6, 2, 9, 2]","[7, 2, 9, 0]","[9, 2, 2, 0]","[10, 2, 6, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[13, 2, 3, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]","[16, 2, 4, 0]",,,,,,,,,
21,"[0, 2, 0, 2]","[1, 4, 1, 2]","[5, 2, 1, 0]","[6, 2, 9, 2]","[7, 2, 9, 2]","[9, 2, 2, 2]","[10, 2, 6, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[13, 2, 3, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]","[16, 2, 4, 0]","[18, 2, 1, 0]",,,,,,,,
22,"[0, 2, 0, 2]","[1, 4, 1, 2]","[5, 2, 1, 0]","[6, 2, 9, 2]","[7, 2, 9, 0]","[9, 2, 2, 0]","[10, 2, 6, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[13, 2, 3, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]","[16, 2, 4, 0]","[18, 2, 1, 0]","[19, 2, 5, 0]",,,,,,,
23,"[0, 2, 0, 2]","[1, 4, 1, 2]","[5, 2, 1, 0]","[6, 2, 9, 2]","[7, 2, 9, 0]","[9, 2, 2, 0]","[10, 2, 6, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[13, 2, 3, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]","[16, 2, 4, 0]","[19, 2, 5, 0]",,,,,,,,
24,"[0, 2, 0, 2]","[1, 4, 1, 2]","[5, 2, 1, 0]","[6, 2, 9, 0]","[7, 2, 9, 0]","[9, 2, 2, 0]","[10, 2, 6, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[13, 2, 3, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]","[16, 2, 4, 0]","[19, 2, 5, 0]","[20, 2, 0, 0]",,,,,,,
25,"[0, 2, 0, 2]","[1, 4, 1, 2]","[5, 2, 1, 0]","[6, 2, 9, 0]","[7, 2, 9, 0]","[9, 2, 2, 0]","[10, 2, 6, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[13, 2, 3, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]","[16, 2, 4, 0]","[19, 2, 5, 0]",,,,,,,,
26,"[0, 2, 0, 2]","[1, 4, 1, 2]","[5, 2, 1, 0]","[6, 2, 9, 0]","[7, 2, 9, 0]","[9, 2, 2, 2]","[10, 2, 6, 2]","[11, 2, 9, 0]","[12, 2, 5, 0]","[13, 2, 3, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]","[16, 2, 4, 0]","[19, 2, 5, 0]","[21, 2, 2, 0]",,,,,,,
27,"[0, 2, 0, 2]","[1, 4, 1, 2]","[5, 2, 1, 0]","[7, 2, 9, 0]","[9, 2, 2, 0]","[10, 2, 6, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[13, 2, 3, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]","[16, 2, 4, 0]","[19, 2, 5, 0]","[21, 2, 2, 0]",,,,,,,,
28,"[0, 2, 0, 0]","[1, 4, 1, 0]","[5, 2, 1, 0]","[7, 2, 9, 0]","[9, 2, 2, 0]","[10, 2, 6, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[13, 2, 3, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]","[16, 2, 4, 0]","[19, 2, 5, 0]",,,,,,,,,
29,"[0, 2, 0, 0]","[1, 4, 1, 0]","[5, 2, 1, 0]","[7, 2, 9, 0]","[9, 2, 2, 0]","[10, 2, 6, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[13, 2, 3, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]","[16, 2, 4, 0]",,,,,,,,,,
30,"[0, 2, 0, 0]","[1, 4, 1, 0]","[5, 2, 1, 0]","[7, 2, 9, 0]","[9, 2, 2, 0]","[10, 2, 6, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[13, 2, 3, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]",,,,,,,,,,,
31,"[0, 2, 0, 0]","[1, 4, 1, 0]","[5, 2, 1, 0]","[7, 2, 9, 0]","[9, 2, 2, 0]","[10, 2, 6, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[13, 2, 3, 0]","[14, 2, 0, 1]","[15, 2, 6, 0]","[22, 2, 0, 0]",,,,,,,,,,
32,"[0, 2, 0, 0]","[1, 4, 1, 0]","[7, 2, 9, 0]","[9, 2, 2, 0]","[10, 2, 6, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[13, 2, 3, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]","[22, 2, 0, 0]",,,,,,,,,,,
33,"[0, 2, 0, 0]","[1, 4, 1, 0]","[7, 2, 9, 0]","[9, 2, 2, 0]","[10, 2, 6, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[13, 2, 3, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]",,,,,,,,,,,,
34,"[0, 2, 0, 0]","[1, 4, 1, 0]","[7, 2, 9, 0]","[9, 2, 2, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[13, 2, 3, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]",,,,,,,,,,,,,
35,"[0, 2, 0, 0]","[1, 4, 1, 0]","[7, 2, 9, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[13, 2, 3, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]",,,,,,,,,,,,,,
36,"[0, 2, 0, 0]","[1, 4, 1, 0]","[7, 2, 9, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[13, 2, 3, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]","[23, 2, 2, 0]",,,,,,,,,,,,,
37,"[0, 2, 0, 0]","[1, 4, 1, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[13, 2, 3, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]","[23, 2, 2, 0]",,,,,,,,,,,,,,
38,"[0, 2, 0, 0]","[1, 4, 1, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[13, 2, 3, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]","[23, 2, 2, 0]","[24, 2, 6, 0]",,,,,,,,,,,,,
39,"[0, 2, 0, 0]","[1, 4, 1, 4]","[11, 2, 9, 2]","[12, 2, 5, 2]","[13, 2, 3, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]","[23, 2, 2, 0]","[24, 2, 6, 0]","[25, 2, 9, 0]",,,,,,,,,,,,
40,"[0, 2, 0, 0]","[1, 4, 1, 4]","[11, 2, 9, 2]","[12, 2, 5, 2]","[13, 2, 3, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]","[23, 2, 2, 0]","[24, 2, 6, 0]","[25, 2, 9, 0]","[26, 2, 2, 0]",,,,,,,,,,,
41,"[0, 2, 0, 0]","[1, 4, 1, 4]","[11, 2, 9, 2]","[12, 2, 5, 2]","[13, 2, 3, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]","[23, 2, 2, 0]","[24, 2, 6, 0]","[25, 2, 9, 0]","[26, 2, 2, 0]","[27, 2, 5, 0]",,,,,,,,,,
42,"[0, 2, 0, 0]","[1, 4, 1, 4]","[11, 2, 9, 2]","[12, 2, 5, 2]","[13, 2, 3, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]","[23, 2, 2, 0]","[24, 2, 6, 0]","[25, 2, 9, 0]","[26, 2, 2, 0]","[27, 2, 5, 0]","[28, 2, 9, 0]",,,,,,,,,
43,"[0, 2, 0, 0]","[1, 4, 1, 4]","[11, 2, 9, 2]","[12, 2, 5, 2]","[13, 2, 3, 2]","[14, 2, 0, 2]","[15, 2, 6, 2]","[23, 2, 2, 0]","[24, 2, 6, 0]","[25, 2, 9, 0]","[26, 2, 2, 0]","[27, 2, 5, 0]","[28, 2, 9, 0]","[29, 2, 6, 0]",,,,,,,,
44,"[0, 2, 0, 0]","[1, 4, 1, 4]","[11, 2, 9, 2]","[12, 2, 5, 2]","[13, 2, 3, 2]","[14, 2, 0, 2]","[15, 2, 6, 2]","[23, 2, 2, 0]","[24, 2, 6, 0]","[25, 2, 9, 0]","[26, 2, 2, 0]","[27, 2, 5, 0]","[28, 2, 9, 0]","[29, 2, 6, 0]","[30, 2, 7, 0]",,,,,,,
45,"[0, 2, 0, 0]","[1, 4, 1, 4]","[11, 2, 9, 2]","[12, 2, 5, 2]","[13, 2, 3, 2]","[14, 2, 0, 2]","[15, 2, 6, 2]","[23, 2, 2, 0]","[24, 2, 6, 0]","[25, 2, 9, 0]","[26, 2, 2, 0]","[27, 2, 5, 0]","[28, 2, 9, 0]","[29, 2, 6, 0]","[30, 2, 7, 0]","[31, 2, 9, 0]",,,,,,
46,"[0, 2, 0, 0]","[1, 4, 1, 4]","[11, 2, 9, 2]","[12, 2, 5, 2]","[13, 2, 3, 2]","[14, 2, 0, 2]","[15, 2, 6, 2]","[23, 2, 2, 0]","[24, 2, 6, 0]","[25, 2, 9, 0]","[26, 2, 2, 0]","[27, 2, 5, 0]","[28, 2, 9, 0]","[29, 2, 6, 0]","[30, 2, 7, 0]","[31, 2, 9, 0]","[32, 2, 5, 0]",,,,,
47,"[0, 2, 0, 0]","[1, 4, 1, 4]","[11, 2, 9, 2]","[12, 2, 5, 2]","[13, 2, 3, 2]","[14, 2, 0, 2]","[15, 2, 6, 2]","[24, 2, 6, 0]","[25, 2, 9, 0]","[26, 2, 2, 0]","[27, 2, 5, 0]","[28, 2, 9, 0]","[29, 2, 6, 0]","[30, 2, 7, 0]","[31, 2, 9, 0]","[32, 2, 5, 0]",,,,,,
48,"[0, 2, 0, 0]","[1, 4, 1, 4]","[11, 2, 9, 2]","[12, 2, 5, 2]","[13, 2, 3, 2]","[14, 2, 0, 2]","[15, 2, 6, 2]","[24, 2, 6, 2]","[25, 2, 9, 2]","[26, 2, 2, 2]","[27, 2, 5, 2]","[28, 2, 9, 0]","[29, 2, 6, 0]","[30, 2, 7, 0]","[31, 2, 9, 0]","[32, 2, 5, 0]","[33, 2, 1, 0]",,,,,
49,"[0, 2, 0, 0]","[1, 4, 1, 4]","[11, 2, 9, 2]","[12, 2, 5, 2]","[13, 2, 3, 2]","[14, 2, 0, 2]","[15, 2, 6, 2]","[24, 2, 6, 2]","[25, 2, 9, 2]","[26, 2, 2, 2]","[27, 2, 5, 2]","[28, 2, 9, 0]","[29, 2, 6, 0]","[30, 2, 7, 0]","[31, 2, 9, 0]","[32, 2, 5, 0]","[33, 2, 1, 0]","[34, 2, 7, 0]",,,,
50,"[0, 2, 0, 0]","[1, 4, 1, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[13, 2, 3, 2]","[14, 2, 0, 2]","[15, 2, 6, 2]","[24, 2, 6, 2]","[25, 2, 9, 2]","[26, 2, 2, 2]","[27, 2, 5, 2]","[28, 2, 9, 0]","[29, 2, 6, 0]","[30, 2, 7, 0]","[31, 2, 9, 0]","[32, 2, 5, 0]","[33, 2, 1, 0]","[34, 2, 7, 0]","[35, 2, 9, 0]",,,
51,"[0, 2, 0, 0]","[1, 4, 1, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[13, 2, 3, 2]","[14, 2, 0, 2]","[15, 2, 6, 2]","[24, 2, 6, 2]","[25, 2, 9, 2]","[26, 2, 2, 2]","[27, 2, 5, 2]","[28, 2, 9, 0]","[29, 2, 6, 0]","[31, 2, 9, 0]","[32, 2, 5, 0]","[33, 2, 1, 0]","[34, 2, 7, 0]","[35, 2, 9, 0]",,,,
52,"[0, 2, 0, 0]","[1, 4, 1, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[13, 2, 3, 2]","[14, 2, 0, 2]","[15, 2, 6, 2]","[24, 2, 6, 2]","[25, 2, 9, 2]","[26, 2, 2, 2]","[27, 2, 5, 2]","[28, 2, 9, 2]","[29, 2, 6, 0]","[31, 2, 9, 0]","[32, 2, 5, 0]","[33, 2, 1, 0]","[34, 2, 7, 0]",,,,,
53,"[0, 2, 0, 0]","[1, 4, 1, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[13, 2, 3, 2]","[14, 2, 0, 2]","[15, 2, 6, 2]","[24, 2, 6, 2]","[25, 2, 9, 2]","[26, 2, 2, 2]","[27, 2, 5, 2]","[28, 2, 9, 2]","[29, 2, 6, 0]","[31, 2, 9, 0]","[32, 2, 5, 0]","[33, 2, 1, 0]","[34, 2, 7, 0]","[36, 2, 2, 0]",,,,
54,"[0, 2, 0, 0]","[1, 4, 1, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[14, 2, 0, 2]","[15, 2, 6, 2]","[24, 2, 6, 2]","[25, 2, 9, 2]","[26, 2, 2, 2]","[27, 2, 5, 2]","[28, 2, 9, 2]","[29, 2, 6, 0]","[31, 2, 9, 0]","[32, 2, 5, 0]","[33, 2, 1, 0]","[34, 2, 7, 0]","[36, 2, 2, 0]",,,,,
55,"[0, 2, 0, 0]","[1, 4, 1, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]","[24, 2, 6, 2]","[25, 2, 9, 2]","[26, 2, 2, 2]","[27, 2, 5, 2]","[28, 2, 9, 2]","[29, 2, 6, 2]","[31, 2, 9, 2]","[32, 2, 5, 2]","[33, 2, 1, 2]","[34, 2, 7, 2]","[36, 2, 2, 0]","[37, 2, 6, 0]",,,,
56,"[0, 2, 0, 0]","[1, 4, 1, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]","[24, 2, 6, 2]","[25, 2, 9, 2]","[26, 2, 2, 2]","[27, 2, 5, 2]","[28, 2, 9, 2]","[29, 2, 6, 2]","[31, 2, 9, 2]","[32, 2, 5, 2]","[33, 2, 1, 2]","[34, 2, 7, 2]","[36, 2, 2, 0]","[37, 2, 6, 0]","[38, 2, 6, 0]",,,
57,"[0, 2, 0, 0]","[1, 4, 1, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]","[24, 2, 6, 2]","[25, 2, 9, 2]","[26, 2, 2, 2]","[27, 2, 5, 2]","[28, 2, 9, 2]","[29, 2, 6, 2]","[31, 2, 9, 2]","[32, 2, 5, 2]","[33, 2, 1, 2]","[34, 2, 7, 2]","[36, 2, 2, 0]","[37, 2, 6, 0]","[38, 2, 6, 0]","[39, 2, 3, 0]",,
58,"[0, 2, 0, 0]","[1, 4, 1, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]","[24, 2, 6, 2]","[25, 2, 9, 2]","[26, 2, 2, 2]","[27, 2, 5, 2]","[28, 2, 9, 2]","[29, 2, 6, 2]","[31, 2, 9, 2]","[32, 2, 5, 2]","[33, 2, 1, 2]","[36, 2, 2, 2]","[37, 2, 6, 2]","[38, 2, 6, 2]","[39, 2, 3, 0]",,,
59,"[0, 2, 0, 0]","[1, 4, 1, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]","[24, 2, 6, 0]","[25, 2, 9, 0]","[26, 2, 2, 0]","[27, 2, 5, 1]","[28, 2, 9, 2]","[29, 2, 6, 2]","[31, 2, 9, 2]","[32, 2, 5, 2]","[33, 2, 1, 2]","[36, 2, 2, 2]","[37, 2, 6, 2]","[38, 2, 6, 2]","[39, 2, 3, 2]","[40, 2, 3, 0]",,
60,"[0, 2, 0, 0]","[1, 4, 1, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]","[24, 2, 6, 0]","[25, 2, 9, 0]","[26, 2, 2, 0]","[27, 2, 5, 0]","[28, 2, 9, 2]","[29, 2, 6, 2]","[31, 2, 9, 2]","[32, 2, 5, 2]","[33, 2, 1, 2]","[36, 2, 2, 2]","[37, 2, 6, 2]","[38, 2, 6, 2]","[39, 2, 3, 2]","[40, 2, 3, 0]","[41, 2, 0, 0]",
61,"[0, 2, 0, 0]","[1, 4, 1, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]","[24, 2, 6, 0]","[25, 2, 9, 0]","[26, 2, 2, 0]","[28, 2, 9, 2]","[29, 2, 6, 2]","[31, 2, 9, 2]","[32, 2, 5, 2]","[33, 2, 1, 2]","[36, 2, 2, 2]","[37, 2, 6, 2]","[38, 2, 6, 2]","[39, 2, 3, 2]","[40, 2, 3, 0]","[41, 2, 0, 0]",,
62,"[0, 2, 0, 0]","[1, 4, 1, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]","[24, 2, 6, 0]","[25, 2, 9, 0]","[28, 2, 9, 2]","[29, 2, 6, 2]","[31, 2, 9, 0]","[32, 2, 5, 0]","[33, 2, 1, 0]","[36, 2, 2, 2]","[37, 2, 6, 2]","[38, 2, 6, 2]","[39, 2, 3, 2]","[40, 2, 3, 0]","[41, 2, 0, 0]",,,
63,"[0, 2, 0, 0]","[1, 4, 1, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]","[24, 2, 6, 0]","[25, 2, 9, 0]","[28, 2, 9, 2]","[29, 2, 6, 2]","[31, 2, 9, 0]","[32, 2, 5, 0]","[33, 2, 1, 0]","[36, 2, 2, 0]","[37, 2, 6, 0]","[38, 2, 6, 0]","[39, 2, 3, 2]","[40, 2, 3, 0]",,,,
64,"[0, 2, 0, 0]","[1, 4, 1, 0]","[11, 2, 9, 0]","[12, 2, 5, 0]","[14, 2, 0, 0]","[15, 2, 6, 0]","[24, 2, 6, 0]","[25, 2, 9, 0]","[28, 2, 9, 2]","[29, 2, 6, 2]","[31, 2, 9, 0]","[32, 2, 5, 0]","[33, 2, 1, 0]","[36, 2, 2, 0]","[37, 2, 6, 0]","[38, 2, 6, 0]","[39, 2, 3, 2]",,,,,
65,"[0, 2, 0, 0]","[1, 4, 1, 4]","[11, 2, 9, 2]","[12, 2, 5, 2]","[14, 2, 0, 0]","[15, 2, 6, 0]","[24, 2, 6, 0]","[25, 2, 9, 0]","[28, 2, 9, 2]","[29, 2, 6, 2]","[31, 2, 9, 0]","[32, 2, 5, 0]","[33, 2, 1, 0]","[36, 2, 2, 0]","[37, 2, 6, 0]","[38, 2, 6, 0]",,,,,,
66,"[0, 2, 0, 0]","[1, 4, 1, 4]","[11, 2, 9, 2]","[12, 2, 5, 2]","[14, 2, 0, 2]","[15, 2, 6, 0]","[24, 2, 6, 0]","[25, 2, 9, 0]","[28, 2, 9, 2]","[29, 2, 6, 2]","[31, 2, 9, 0]","[32, 2, 5, 0]","[33, 2, 1, 0]","[36, 2, 2, 0]","[37, 2, 6, 0]","[38, 2, 6, 0]","[42, 2, 3, 0]",,,,,
67,"[0, 2, 0, 0]","[1, 4, 1, 4]","[11, 2, 9, 2]","[12, 2, 5, 2]","[14, 2, 0, 2]","[15, 2, 6, 0]","[24, 2, 6, 0]","[25, 2, 9, 0]","[28, 2, 9, 2]","[29, 2, 6, 2]","[32, 2, 5, 0]","[33, 2, 1, 0]","[36, 2, 2, 0]","[37, 2, 6, 0]","[38, 2, 6, 0]","[42, 2, 3, 0]",,,,,,
68,"[1, 4, 1, 4]","[11, 2, 9, 2]","[12, 2, 5, 2]","[14, 2, 0, 2]","[15, 2, 6, 2]","[24, 2, 6, 2]","[25, 2, 9, 2]","[28, 2, 9, 2]","[29, 2, 6, 0]","[32, 2, 5, 2]","[33, 2, 1, 0]","[36, 2, 2, 0]","[37, 2, 6, 0]","[38, 2, 6, 0]","[42, 2, 3, 0]",,,,,,,
69,"[1, 4, 1, 4]","[11, 2, 9, 2]","[12, 2, 5, 2]","[14, 2, 0, 2]","[15, 2, 6, 2]","[24, 2, 6, 2]","[25, 2, 9, 2]","[28, 2, 9, 2]","[29, 2, 6, 0]","[32, 2, 5, 2]","[33, 2, 1, 0]","[36, 2, 2, 0]","[37, 2, 6, 0]","[38, 2, 6, 0]","[42, 2, 3, 0]","[43, 2, 1, 0]",,,,,,
70,"[1, 4, 1, 4]","[11, 2, 9, 2]","[12, 2, 5, 2]","[14, 2, 0, 2]","[15, 2, 6, 2]","[24, 2, 6, 2]","[25, 2, 9, 2]","[28, 2, 9, 2]","[29, 2, 6, 0]","[32, 2, 5, 2]","[33, 2, 1, 0]","[36, 2, 2, 0]","[37, 2, 6, 0]","[38, 2, 6, 0]","[42, 2, 3, 0]","[43, 2, 1, 0]","[44, 2, 7, 0]",,,,,
71,"[1, 4, 1, 4]","[11, 2, 9, 2]","[12, 2, 5, 2]","[14, 2, 0, 2]","[15, 2, 6, 2]","[24, 2, 6, 2]","[25, 2, 9, 2]","[29, 2, 6, 0]","[32, 2, 5, 2]","[33, 2, 1, 2]","[36, 2, 2, 2]","[37, 2, 6, 2]","[38, 2, 6, 0]","[42, 2, 3, 0]","[43, 2, 1, 0]","[44, 2, 7, 0]",,,,,,
72,"[1, 4, 1, 4]","[11, 2, 9, 2]","[12, 2, 5, 2]","[14, 2, 0, 2]","[15, 2, 6, 2]","[24, 2, 6, 2]","[25, 2, 9, 2]","[29, 2, 6, 0]","[32, 2, 5, 2]","[33, 2, 1, 2]","[36, 2, 2, 2]","[37, 2, 6, 2]","[38, 2, 6, 2]","[42, 2, 3, 0]","[43, 2, 1, 0]","[44, 2, 7, 0]","[45, 2, 3, 0]",,,,,
73,"[1, 4, 1, 4]","[11, 2, 9, 2]","[12, 2, 5, 2]","[14, 2, 0, 0]","[15, 2, 6, 0]","[24, 2, 6, 0]","[25, 2, 9, 0]","[29, 2, 6, 0]","[32, 2, 5, 0]","[33, 2, 1, 2]","[36, 2, 2, 2]","[37, 2, 6, 2]","[38, 2, 6, 2]","[42, 2, 3, 0]","[43, 2, 1, 0]","[44, 2, 7, 0]","[45, 2, 3, 0]","[46, 2, 5, 0]",,,,
