,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
27,"[3, 2, 6, 0]","[4, 2, 0, 0]","[5, 2, 0, 0]","[6, 2, 4, 0]","[7, 2, 2, 0]","[9, 2, 6, 0]","[10, 2, 6, 0]","[11, 2, 7, 0]","[13, 2, 3, 0]","[14, 2, 5, 0]","[15, 2, 5, 0]","[16, 2, 6, 0]","[18, 2, 8, 0]","[19, 2, 4, 0]","[20, 2, 2, 0]","[22, 2, 8, 0]",,,,,,,,,,,,
28,"[3, 2, 6, 0]","[4, 2, 0, 0]","[5, 2, 0, 0]","[6, 2, 4, 0]","[7, 2, 2, 0]","[9, 2, 6, 0]","[10, 2, 6, 0]","[11, 2, 7, 0]","[13, 2, 3, 0]","[14, 2, 5, 0]","[15, 2, 5, 0]","[16, 2, 6, 0]","[18, 2, 8, 0]","[19, 2, 4, 0]","[20, 2, 2, 0]",,,,,,,,,,,,,
29,"[3, 2, 6, 0]","[4, 2, 0, 0]","[5, 2, 0, 0]","[6, 2, 4, 0]","[7, 2, 2, 0]","[9, 2, 6, 0]","[10, 2, 6, 0]","[11, 2, 7, 0]","[13, 2, 3, 0]","[14, 2, 5, 0]","[15, 2, 5, 0]","[16, 2, 6, 0]","[18, 2, 8, 0]","[19, 2, 4, 0]",,,,,,,,,,,,,,
30,"[3, 2, 6, 0]","[4, 2, 0, 0]","[5, 2, 0, 0]","[6, 2, 4, 0]","[7, 2, 2, 0]","[9, 2, 6, 0]","[10, 2, 6, 0]","[11, 2, 7, 0]","[13, 2, 3, 0]","[14, 2, 5, 0]","[15, 2, 5, 0]","[16, 2, 6, 0]","[18, 2, 8, 0]",,,,,,,,,,,,,,,
31,"[3, 2, 6, 0]","[4, 2, 0, 0]","[5, 2, 0, 0]","[6, 2, 4, 0]","[7, 2, 2, 0]","[9, 2, 6, 0]","[10, 2, 6, 0]","[11, 2, 7, 0]","[13, 2, 3, 0]","[14, 2, 5, 1]","[15, 2, 5, 0]","[16, 2, 6, 0]",,,,,,,,,,,,,,,,
32,"[3, 2, 6, 0]","[4, 2, 0, 0]","[5, 2, 0, 0]","[6, 2, 4, 0]","[7, 2, 2, 0]","[10, 2, 6, 0]","[11, 2, 7, 0]","[13, 2, 3, 0]","[14, 2, 5, 0]","[15, 2, 5, 0]","[16, 2, 6, 0]",,,,,,,,,,,,,,,,,
33,"[3, 2, 6, 0]","[4, 2, 0, 0]","[5, 2, 0, 0]","[6, 2, 4, 0]","[7, 2, 2, 0]","[10, 2, 6, 0]","[11, 2, 7, 0]","[13, 2, 3, 0]","[14, 2, 5, 0]","[16, 2, 6, 0]",,,,,,,,,,,,,,,,,,
34,"[3, 2, 6, 0]","[4, 2, 0, 0]","[5, 2, 0, 0]","[6, 2, 4, 0]","[7, 2, 2, 0]","[10, 2, 6, 0]","[11, 2, 7, 0]","[14, 2, 5, 0]","[16, 2, 6, 0]",,,,,,,,,,,,,,,,,,,
35,"[3, 2, 6, 0]","[4, 2, 0, 0]","[5, 2, 0, 0]","[6, 2, 4, 0]","[7, 2, 2, 0]","[11, 2, 7, 0]","[14, 2, 5, 0]","[16, 2, 6, 0]",,,,,,,,,,,,,,,,,,,,
36,"[3, 2, 6, 0]","[4, 2, 0, 0]","[6, 2, 4, 0]","[7, 2, 2, 0]","[11, 2, 7, 0]","[14, 2, 5, 0]","[16, 2, 6, 0]",,,,,,,,,,,,,,,,,,,,,
37,"[3, 2, 6, 0]","[6, 2, 4, 0]","[7, 2, 2, 0]","[11, 2, 7, 0]","[14, 2, 5, 0]","[16, 2, 6, 0]",,,,,,,,,,,,,,,,,,,,,,
38,"[6, 2, 4, 0]","[7, 2, 2, 0]","[11, 2, 7, 0]","[14, 2, 5, 0]","[16, 2, 6, 0]",,,,,,,,,,,,,,,,,,,,,,,
39,"[6, 2, 4, 2]","[7, 2, 2, 2]","[11, 2, 7, 2]","[14, 2, 5, 0]",,,,,,,,,,,,,,,,,,,,,,,,
40,"[6, 2, 4, 2]","[7, 2, 2, 2]","[11, 2, 7, 2]","[14, 2, 5, 2]","[23, 2, 3, 0]",,,,,,,,,,,,,,,,,,,,,,,
41,"[6, 2, 4, 2]","[7, 2, 2, 2]","[11, 2, 7, 2]","[14, 2, 5, 2]","[23, 2, 3, 0]","[24, 2, 2, 0]",,,,,,,,,,,,,,,,,,,,,,
42,"[6, 2, 4, 2]","[7, 2, 2, 2]","[11, 2, 7, 2]","[14, 2, 5, 2]","[23, 2, 3, 0]","[24, 2, 2, 0]","[25, 2, 3, 0]",,,,,,,,,,,,,,,,,,,,,
43,"[6, 2, 4, 2]","[7, 2, 2, 2]","[11, 2, 7, 2]","[14, 2, 5, 2]","[23, 2, 3, 2]","[24, 2, 2, 2]",,,,,,,,,,,,,,,,,,,,,,
44,"[6, 2, 4, 2]","[7, 2, 2, 2]","[11, 2, 7, 2]","[14, 2, 5, 2]","[23, 2, 3, 2]","[24, 2, 2, 2]","[26, 2, 0, 0]",,,,,,,,,,,,,,,,,,,,,
45,"[6, 2, 4, 2]","[7, 2, 2, 2]","[11, 2, 7, 2]","[14, 2, 5, 2]","[23, 2, 3, 2]","[24, 2, 2, 2]","[26, 2, 0, 2]","[27, 2, 2, 0]",,,,,,,,,,,,,,,,,,,,
46,"[6, 2, 4, 2]","[7, 2, 2, 2]","[11, 2, 7, 2]","[14, 2, 5, 2]","[23, 2, 3, 2]","[24, 2, 2, 2]","[26, 2, 0, 2]","[27, 2, 2, 0]","[28, 2, 2, 0]",,,,,,,,,,,,,,,,,,,
47,"[6, 2, 4, 2]","[7, 2, 2, 2]","[11, 2, 7, 2]","[14, 2, 5, 2]","[23, 2, 3, 2]","[24, 2, 2, 2]","[26, 2, 0, 2]","[27, 2, 2, 0]","[28, 2, 2, 0]","[29, 2, 2, 0]",,,,,,,,,,,,,,,,,,
48,"[6, 2, 4, 2]","[7, 2, 2, 2]","[11, 2, 7, 2]","[14, 2, 5, 2]","[23, 2, 3, 2]","[24, 2, 2, 2]","[26, 2, 0, 2]","[27, 2, 2, 2]","[28, 2, 2, 2]",,,,,,,,,,,,,,,,,,,
49,"[6, 2, 4, 2]","[7, 2, 2, 2]","[11, 2, 7, 2]","[14, 2, 5, 2]","[23, 2, 3, 2]","[24, 2, 2, 2]","[26, 2, 0, 2]","[27, 2, 2, 2]","[28, 2, 2, 2]","[30, 2, 1, 0]",,,,,,,,,,,,,,,,,,
50,"[6, 2, 4, 0]","[7, 2, 2, 0]","[11, 2, 7, 0]","[14, 2, 5, 2]","[23, 2, 3, 2]","[24, 2, 2, 2]","[26, 2, 0, 2]","[27, 2, 2, 2]","[28, 2, 2, 2]","[30, 2, 1, 2]","[31, 2, 2, 0]",,,,,,,,,,,,,,,,,
51,"[6, 2, 4, 0]","[7, 2, 2, 0]","[11, 2, 7, 0]","[14, 2, 5, 0]","[23, 2, 3, 2]","[24, 2, 2, 2]","[26, 2, 0, 2]","[27, 2, 2, 2]","[28, 2, 2, 2]","[30, 2, 1, 2]","[31, 2, 2, 2]","[32, 2, 4, 0]",,,,,,,,,,,,,,,,
52,"[6, 2, 4, 2]","[7, 2, 2, 0]","[11, 2, 7, 0]","[14, 2, 5, 0]","[23, 2, 3, 2]","[24, 2, 2, 2]","[26, 2, 0, 2]","[27, 2, 2, 2]","[28, 2, 2, 2]","[30, 2, 1, 2]","[31, 2, 2, 2]",,,,,,,,,,,,,,,,,
53,"[6, 2, 4, 2]","[7, 2, 2, 0]","[11, 2, 7, 0]","[14, 2, 5, 0]","[23, 2, 3, 2]","[24, 2, 2, 2]","[26, 2, 0, 2]","[27, 2, 2, 2]","[28, 2, 2, 2]","[30, 2, 1, 2]","[31, 2, 2, 2]","[33, 2, 1, 0]",,,,,,,,,,,,,,,,
54,"[6, 2, 4, 2]","[7, 2, 2, 0]","[11, 2, 7, 0]","[14, 2, 5, 0]","[23, 2, 3, 2]","[24, 2, 2, 2]","[26, 2, 0, 2]","[27, 2, 2, 2]","[28, 2, 2, 2]","[30, 2, 1, 2]","[31, 2, 2, 2]","[33, 2, 1, 0]","[34, 2, 3, 0]",,,,,,,,,,,,,,,
55,"[6, 2, 4, 2]","[7, 2, 2, 2]","[11, 2, 7, 2]","[14, 2, 5, 2]","[23, 2, 3, 2]","[24, 2, 2, 2]","[26, 2, 0, 2]","[27, 2, 2, 2]","[28, 2, 2, 2]","[30, 2, 1, 2]","[31, 2, 2, 2]","[33, 2, 1, 2]",,,,,,,,,,,,,,,,
56,"[6, 2, 4, 2]","[7, 2, 2, 2]","[11, 2, 7, 2]","[14, 2, 5, 2]","[23, 2, 3, 0]","[24, 2, 2, 0]","[26, 2, 0, 2]","[27, 2, 2, 2]","[28, 2, 2, 2]","[30, 2, 1, 2]","[31, 2, 2, 2]","[33, 2, 1, 2]","[35, 2, 0, 0]",,,,,,,,,,,,,,,
57,"[6, 2, 4, 2]","[7, 2, 2, 2]","[11, 2, 7, 2]","[14, 2, 5, 2]","[23, 2, 3, 0]","[24, 2, 2, 0]","[26, 2, 0, 2]","[27, 2, 2, 2]","[28, 2, 2, 2]","[30, 2, 1, 2]","[31, 2, 2, 2]","[33, 2, 1, 2]","[35, 2, 0, 0]","[36, 2, 1, 0]",,,,,,,,,,,,,,
58,"[6, 2, 4, 2]","[7, 2, 2, 2]","[11, 2, 7, 2]","[14, 2, 5, 2]","[23, 2, 3, 2]","[24, 2, 2, 2]","[26, 2, 0, 0]","[27, 2, 2, 2]","[28, 2, 2, 2]","[30, 2, 1, 2]","[31, 2, 2, 2]","[33, 2, 1, 2]","[35, 2, 0, 2]",,,,,,,,,,,,,,,
59,"[6, 2, 4, 2]","[7, 2, 2, 2]","[11, 2, 7, 2]","[14, 2, 5, 2]","[23, 2, 3, 2]","[24, 2, 2, 2]","[26, 2, 0, 0]","[27, 2, 2, 2]","[28, 2, 2, 2]","[30, 2, 1, 2]","[31, 2, 2, 2]","[33, 2, 1, 2]","[35, 2, 0, 2]","[37, 2, 0, 0]",,,,,,,,,,,,,,
60,"[6, 2, 4, 2]","[7, 2, 2, 2]","[11, 2, 7, 2]","[14, 2, 5, 2]","[23, 2, 3, 2]","[24, 2, 2, 2]","[26, 2, 0, 0]","[27, 2, 2, 0]","[28, 2, 2, 0]","[30, 2, 1, 2]","[31, 2, 2, 2]","[33, 2, 1, 2]","[35, 2, 0, 2]","[37, 2, 0, 0]","[38, 2, 1, 0]",,,,,,,,,,,,,
61,"[6, 2, 4, 2]","[7, 2, 2, 2]","[11, 2, 7, 2]","[14, 2, 5, 2]","[23, 2, 3, 2]","[24, 2, 2, 2]","[26, 2, 0, 0]","[27, 2, 2, 0]","[28, 2, 2, 0]","[30, 2, 1, 2]","[31, 2, 2, 2]","[33, 2, 1, 2]","[35, 2, 0, 2]","[37, 2, 0, 0]","[38, 2, 1, 0]","[39, 2, 3, 0]",,,,,,,,,,,,
62,"[6, 2, 4, 2]","[7, 2, 2, 0]","[11, 2, 7, 0]","[14, 2, 5, 0]","[23, 2, 3, 2]","[24, 2, 2, 2]","[26, 2, 0, 0]","[27, 2, 2, 0]","[28, 2, 2, 0]","[30, 2, 1, 2]","[31, 2, 2, 2]","[33, 2, 1, 0]","[35, 2, 0, 2]","[37, 2, 0, 0]","[38, 2, 1, 0]","[39, 2, 3, 0]","[40, 2, 4, 0]",,,,,,,,,,,
63,"[6, 2, 4, 2]","[7, 2, 2, 0]","[11, 2, 7, 0]","[14, 2, 5, 0]","[23, 2, 3, 0]","[24, 2, 2, 1]","[26, 2, 0, 0]","[27, 2, 2, 0]","[28, 2, 2, 0]","[30, 2, 1, 0]","[31, 2, 2, 0]","[33, 2, 1, 0]","[35, 2, 0, 0]","[37, 2, 0, 0]","[38, 2, 1, 0]","[39, 2, 3, 0]","[40, 2, 4, 0]","[41, 2, 9, 0]",,,,,,,,,,
64,"[6, 2, 4, 2]","[7, 2, 2, 0]","[11, 2, 7, 0]","[14, 2, 5, 0]","[23, 2, 3, 0]","[24, 2, 2, 0]","[26, 2, 0, 0]","[27, 2, 2, 0]","[28, 2, 2, 0]","[30, 2, 1, 0]","[31, 2, 2, 0]","[33, 2, 1, 0]","[35, 2, 0, 0]","[37, 2, 0, 0]","[38, 2, 1, 0]","[40, 2, 4, 0]","[41, 2, 9, 0]",,,,,,,,,,,
65,"[6, 2, 4, 2]","[7, 2, 2, 0]","[11, 2, 7, 0]","[14, 2, 5, 0]","[23, 2, 3, 0]","[24, 2, 2, 1]","[26, 2, 0, 2]","[27, 2, 2, 2]","[28, 2, 2, 2]","[30, 2, 1, 1]","[31, 2, 2, 0]","[33, 2, 1, 0]","[35, 2, 0, 0]","[37, 2, 0, 0]","[38, 2, 1, 0]","[40, 2, 4, 0]",,,,,,,,,,,,
66,"[6, 2, 4, 2]","[7, 2, 2, 0]","[11, 2, 7, 0]","[14, 2, 5, 0]","[23, 2, 3, 0]","[24, 2, 2, 1]","[26, 2, 0, 2]","[27, 2, 2, 2]","[28, 2, 2, 2]","[30, 2, 1, 1]","[31, 2, 2, 0]","[33, 2, 1, 0]","[35, 2, 0, 0]","[37, 2, 0, 0]","[38, 2, 1, 0]","[40, 2, 4, 0]","[42, 2, 7, 0]",,,,,,,,,,,
67,"[6, 2, 4, 2]","[7, 2, 2, 0]","[11, 2, 7, 0]","[14, 2, 5, 0]","[23, 2, 3, 0]","[24, 2, 2, 1]","[26, 2, 0, 2]","[27, 2, 2, 2]","[28, 2, 2, 2]","[30, 2, 1, 1]","[31, 2, 2, 0]","[33, 2, 1, 0]","[35, 2, 0, 0]","[37, 2, 0, 0]","[38, 2, 1, 0]","[40, 2, 4, 0]","[42, 2, 7, 0]","[43, 2, 6, 0]",,,,,,,,,,
68,"[6, 2, 4, 2]","[7, 2, 2, 0]","[11, 2, 7, 0]","[14, 2, 5, 0]","[23, 2, 3, 0]","[24, 2, 2, 1]","[26, 2, 0, 2]","[27, 2, 2, 2]","[28, 2, 2, 2]","[30, 2, 1, 2]","[31, 2, 2, 2]","[33, 2, 1, 2]","[35, 2, 0, 2]","[37, 2, 0, 1]","[38, 2, 1, 0]","[40, 2, 4, 0]","[42, 2, 7, 0]",,,,,,,,,,,
69,"[6, 2, 4, 2]","[7, 2, 2, 0]","[11, 2, 7, 0]","[14, 2, 5, 0]","[23, 2, 3, 0]","[24, 2, 2, 1]","[26, 2, 0, 2]","[27, 2, 2, 2]","[28, 2, 2, 2]","[30, 2, 1, 2]","[31, 2, 2, 2]","[33, 2, 1, 2]","[35, 2, 0, 2]","[37, 2, 0, 1]","[38, 2, 1, 0]","[40, 2, 4, 0]","[42, 2, 7, 0]","[44, 2, 5, 0]",,,,,,,,,,
70,"[6, 2, 4, 2]","[7, 2, 2, 0]","[11, 2, 7, 0]","[14, 2, 5, 0]","[23, 2, 3, 0]","[24, 2, 2, 1]","[26, 2, 0, 2]","[27, 2, 2, 2]","[28, 2, 2, 2]","[30, 2, 1, 2]","[31, 2, 2, 2]","[33, 2, 1, 2]","[35, 2, 0, 2]","[37, 2, 0, 1]","[38, 2, 1, 0]","[40, 2, 4, 0]","[42, 2, 7, 0]","[44, 2, 5, 0]","[45, 2, 6, 0]",,,,,,,,,
71,"[6, 2, 4, 2]","[7, 2, 2, 0]","[11, 2, 7, 0]","[14, 2, 5, 0]","[23, 2, 3, 0]","[24, 2, 2, 1]","[26, 2, 0, 2]","[27, 2, 2, 2]","[28, 2, 2, 2]","[30, 2, 1, 2]","[31, 2, 2, 2]","[33, 2, 1, 2]","[35, 2, 0, 2]","[37, 2, 0, 2]","[38, 2, 1, 2]","[40, 2, 4, 2]","[42, 2, 7, 1]","[44, 2, 5, 0]",,,,,,,,,,
72,"[6, 2, 4, 2]","[7, 2, 2, 0]","[11, 2, 7, 0]","[14, 2, 5, 0]","[23, 2, 3, 0]","[24, 2, 2, 1]","[26, 2, 0, 2]","[27, 2, 2, 2]","[28, 2, 2, 2]","[30, 2, 1, 1]","[31, 2, 2, 0]","[33, 2, 1, 0]","[35, 2, 0, 0]","[37, 2, 0, 1]","[38, 2, 1, 2]","[40, 2, 4, 2]","[42, 2, 7, 1]","[44, 2, 5, 0]","[46, 2, 3, 0]",,,,,,,,,
73,"[6, 2, 4, 2]","[7, 2, 2, 0]","[11, 2, 7, 0]","[14, 2, 5, 0]","[23, 2, 3, 0]","[24, 2, 2, 1]","[26, 2, 0, 2]","[27, 2, 2, 2]","[28, 2, 2, 2]","[30, 2, 1, 1]","[31, 2, 2, 0]","[33, 2, 1, 0]","[35, 2, 0, 0]","[37, 2, 0, 1]","[38, 2, 1, 2]","[40, 2, 4, 2]","[42, 2, 7, 1]","[44, 2, 5, 0]","[46, 2, 3, 0]","[47, 2, 8, 0]",,,,,,,,
74,"[6, 2, 4, 2]","[7, 2, 2, 0]","[11, 2, 7, 0]","[14, 2, 5, 0]","[23, 2, 3, 0]","[24, 2, 2, 1]","[26, 2, 0, 2]","[27, 2, 2, 2]","[28, 2, 2, 2]","[30, 2, 1, 1]","[31, 2, 2, 0]","[33, 2, 1, 0]","[35, 2, 0, 0]","[37, 2, 0, 1]","[38, 2, 1, 2]","[40, 2, 4, 2]","[42, 2, 7, 1]","[44, 2, 5, 0]","[46, 2, 3, 0]","[47, 2, 8, 0]","[48, 2, 7, 0]",,,,,,,
75,"[6, 2, 4, 2]","[7, 2, 2, 0]","[11, 2, 7, 0]","[14, 2, 5, 0]","[23, 2, 3, 0]","[24, 2, 2, 1]","[26, 2, 0, 2]","[27, 2, 2, 2]","[28, 2, 2, 2]","[30, 2, 1, 1]","[31, 2, 2, 0]","[33, 2, 1, 0]","[35, 2, 0, 0]","[37, 2, 0, 1]","[38, 2, 1, 2]","[40, 2, 4, 2]","[42, 2, 7, 2]","[44, 2, 5, 2]","[46, 2, 3, 1]","[47, 2, 8, 0]",,,,,,,,
76,"[6, 2, 4, 2]","[7, 2, 2, 0]","[11, 2, 7, 0]","[14, 2, 5, 0]","[23, 2, 3, 0]","[24, 2, 2, 1]","[26, 2, 0, 2]","[27, 2, 2, 2]","[28, 2, 2, 2]","[30, 2, 1, 1]","[31, 2, 2, 0]","[33, 2, 1, 0]","[35, 2, 0, 0]","[37, 2, 0, 1]","[38, 2, 1, 2]","[40, 2, 4, 2]","[42, 2, 7, 2]","[44, 2, 5, 2]","[46, 2, 3, 1]","[47, 2, 8, 0]","[49, 2, 7, 0]",,,,,,,
77,"[6, 2, 4, 2]","[7, 2, 2, 0]","[11, 2, 7, 0]","[14, 2, 5, 0]","[23, 2, 3, 0]","[24, 2, 2, 0]","[26, 2, 0, 0]","[27, 2, 2, 0]","[28, 2, 2, 0]","[30, 2, 1, 1]","[31, 2, 2, 0]","[33, 2, 1, 0]","[35, 2, 0, 0]","[37, 2, 0, 1]","[38, 2, 1, 2]","[40, 2, 4, 2]","[42, 2, 7, 2]","[44, 2, 5, 2]","[46, 2, 3, 1]","[47, 2, 8, 0]","[49, 2, 7, 0]","[50, 2, 8, 0]",,,,,,
78,"[6, 2, 4, 2]","[7, 2, 2, 0]","[11, 2, 7, 0]","[14, 2, 5, 0]","[23, 2, 3, 0]","[24, 2, 2, 0]","[26, 2, 0, 0]","[27, 2, 2, 0]","[28, 2, 2, 0]","[30, 2, 1, 0]","[31, 2, 2, 0]","[33, 2, 1, 0]","[35, 2, 0, 0]","[37, 2, 0, 1]","[38, 2, 1, 2]","[40, 2, 4, 2]","[42, 2, 7, 2]","[44, 2, 5, 2]","[46, 2, 3, 1]","[47, 2, 8, 0]","[49, 2, 7, 0]","[50, 2, 8, 0]","[51, 2, 1, 0]",,,,,
79,"[6, 2, 4, 2]","[7, 2, 2, 0]","[11, 2, 7, 0]","[14, 2, 5, 0]","[23, 2, 3, 0]","[24, 2, 2, 0]","[26, 2, 0, 0]","[27, 2, 2, 0]","[28, 2, 2, 0]","[30, 2, 1, 0]","[31, 2, 2, 0]","[33, 2, 1, 0]","[35, 2, 0, 0]","[37, 2, 0, 0]","[38, 2, 1, 0]","[40, 2, 4, 0]","[42, 2, 7, 1]","[44, 2, 5, 2]","[46, 2, 3, 1]","[47, 2, 8, 0]","[49, 2, 7, 0]","[50, 2, 8, 0]","[51, 2, 1, 0]","[52, 2, 0, 0]",,,,
